,idnm,xh,bcgs,n1,jp,n2,n3,cp,n4
0,817453,1,威廉希尔,1.030,平手/半球,0.730,1.070,平手/半球,0.760
1,817453,2,澳门,1.030,平手/半球,0.770,1.030,平手/半球,0.770
2,817453,3,Bet365,1.100,平手/半球,0.800,0.840,平手,1.060
3,817453,4,Interwetten,0.670,平手,1.050,0.650,平手,1.100
4,817453,5,皇冠,0.730,平手,1.170,1.080,平手/半球,0.800
5,817453,6,易胜博,1.130,平手/半球,0.770,1.090,平手/半球,0.800
6,817453,7,伟德,1.110,平手/半球,0.810,0.810,平手,1.120
7,817453,8,Pinnacle平博,1.100,平手/半球,0.800,0.900,平手,1.000
8,817453,9,10BET,1.000,平手/半球,0.710,0.760,平手,0.850
9,817453,10,利记,1.130,平手/半球,0.800,1.080,平手/半球,0.840
