,code,name,cl,clname,gxsj
0,002610,爱康科技,1,策略4----高于50(向上趋势中) d501,202007262355
2,002285,世联行,1,策略4----高于50(向上趋势中) d501,202007262355
3,002298,中电兴发,1,策略4----高于50(向上趋势中) d501,202007262355
5,603488,展鹏科技,1,策略4----高于50(向上趋势中) d501,202007262355
6,002664,长鹰信质,1,策略4----高于50(向上趋势中) d501,202007262355
7,002361,神剑股份,1,策略4----高于50(向上趋势中) d501,202007262355
8,002389,航天彩虹,1,策略4----高于50(向上趋势中) d501,202007262355
9,600178,东安动力,1,策略4----高于50(向上趋势中) d501,202007262355
10,300120,经纬辉开,1,策略4----高于50(向上趋势中) d501,202007262355
11,601038,一拖股份,1,策略4----高于50(向上趋势中) d501,202007262355
12,600531,豫光金铅,1,策略4----高于50(向上趋势中) d501,202007262355
14,300366,创意信息,1,策略4----高于50(向上趋势中) d501,202007262355
16,002691,冀凯股份,1,策略4----高于50(向上趋势中) d501,202007262355
17,601216,君正集团,1,策略4----高于50(向上趋势中) d501,202007262355
19,600764,中国海防,1,策略4----高于50(向上趋势中) d501,202007262355
20,300008,天海防务,1,策略4----高于50(向上趋势中) d501,202007262355
23,600988,赤峰黄金,1,策略4----高于50(向上趋势中) d501,202007262355
25,600791,京能置业,1,策略4----高于50(向上趋势中) d501,202007262355
26,600685,中船防务,1,策略4----高于50(向上趋势中) d501,202007262355
27,601633,长城汽车,1,策略4----高于50(向上趋势中) d501,202007262355
28,603015,弘讯科技,1,策略4----高于50(向上趋势中) d501,202007262355
30,600211,西藏药业,1,策略4----高于50(向上趋势中) d501,202007262355
31,002360,同德化工,1,策略4----高于50(向上趋势中) d501,202007262355
32,603985,恒润股份,1,策略4----高于50(向上趋势中) d501,202007262355
33,300191,潜能恒信,1,策略4----高于50(向上趋势中) d501,202007262355
34,300307,慈星股份,1,策略4----高于50(向上趋势中) d501,202007262355
36,600316,洪都航空,1,策略4----高于50(向上趋势中) d501,202007262355
37,600148,长春一东,1,策略4----高于50(向上趋势中) d501,202007262355
38,000691,亚太实业,1,策略4----高于50(向上趋势中) d501,202007262355
39,300103,达刚控股,1,策略4----高于50(向上趋势中) d501,202007262355
40,002625,光启技术,1,策略4----高于50(向上趋势中) d501,202007262355
42,600501,航天晨光,1,策略4----高于50(向上趋势中) d501,202007262355
45,300449,汉邦高科,1,策略4----高于50(向上趋势中) d501,202007262355
46,600127,金健米业,1,策略4----高于50(向上趋势中) d501,202007262355
48,000599,青岛双星,1,策略4----高于50(向上趋势中) d501,202007262355
50,000519,中兵红箭,1,策略4----高于50(向上趋势中) d501,202007262355
53,300225,金力泰,1,策略4----高于50(向上趋势中) d501,202007262355
54,603976,正川股份,1,策略4----高于50(向上趋势中) d501,202007262355
55,002277,友阿股份,1,策略4----高于50(向上趋势中) d501,202007262355
58,002226,江南化工,1,策略4----高于50(向上趋势中) d501,202007262355
59,002634,棒杰股份,1,策略4----高于50(向上趋势中) d501,202007262355
62,300505,川金诺,1,策略4----高于50(向上趋势中) d501,202007262355
63,300717,华信新材,1,策略4----高于50(向上趋势中) d501,202007262355
64,600196,复星医药,1,策略4----高于50(向上趋势中) d501,202007262355
66,300501,海顺新材,1,策略4----高于50(向上趋势中) d501,202007262355
67,600343,航天动力,1,策略4----高于50(向上趋势中) d501,202007262355
73,600482,中国动力,1,策略4----高于50(向上趋势中) d501,202007262355
76,000831,五矿稀土,1,策略4----高于50(向上趋势中) d501,202007262355
85,000893,东凌国际,1,策略4----高于50(向上趋势中) d501,202007262355
88,603727,博迈科,1,策略4----高于50(向上趋势中) d501,202007262355
90,600460,士兰微,1,策略4----高于50(向上趋势中) d501,202007262355
91,600673,东阳光,1,策略4----高于50(向上趋势中) d501,202007262355
93,002270,华明装备,1,策略4----高于50(向上趋势中) d501,202007262355
99,000559,万向钱潮,1,策略4----高于50(向上趋势中) d501,202007262355
100,300516,久之洋,1,策略4----高于50(向上趋势中) d501,202007262355
106,300391,康跃科技,1,策略4----高于50(向上趋势中) d501,202007262355
107,002431,棕榈股份,1,策略4----高于50(向上趋势中) d501,202007262355
109,600893,航发动力,1,策略4----高于50(向上趋势中) d501,202007262355
111,300358,楚天科技,1,策略4----高于50(向上趋势中) d501,202007262355
115,600456,宝钛股份,1,策略4----高于50(向上趋势中) d501,202007262355
117,002032,苏 泊 尔,1,策略4----高于50(向上趋势中) d501,202007262355
120,603377,东方时尚,1,策略4----高于50(向上趋势中) d501,202007262355
122,300196,长海股份,1,策略4----高于50(向上趋势中) d501,202007262355
