,code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
1437,600609.SH,20140103,2.94,2.94,2.88,2.89,2.94,-0.05,-1.7,27371.9,7939.936
1436,600609.SH,20140106,2.9,2.9,2.77,2.8,2.89,-0.09,-3.11,31631.72,8903.765
1435,600609.SH,20140107,2.8,2.85,2.78,2.83,2.8,0.03,1.07,18832.62,5309.429
1434,600609.SH,20140108,2.83,2.85,2.73,2.76,2.83,-0.07,-2.47,35210.82,9813.47
1433,600609.SH,20140109,2.76,2.78,2.72,2.73,2.76,-0.03,-1.09,21956.83,6044.061
1432,600609.SH,20140110,2.71,2.73,2.63,2.64,2.73,-0.09,-3.3,31790.31,8489.005
1431,600609.SH,20140113,2.64,2.66,2.58,2.6,2.64,-0.04,-1.52,32846.3,8605.315
1430,600609.SH,20140114,2.6,2.86,2.6,2.86,2.6,0.26,10.0,66073.7,18629.693
1429,600609.SH,20140115,3.0,3.07,2.9,2.98,2.86,0.12,4.2,283605.59,84294.337
1428,600609.SH,20140116,2.95,2.95,2.85,2.91,2.98,-0.07,-2.35,144265.65,41850.538
1427,600609.SH,20140117,2.9,2.99,2.85,2.9,2.91,-0.01,-0.34,131485.12,38544.198
1426,600609.SH,20140120,2.9,2.9,2.77,2.81,2.9,-0.09,-3.1,86268.61,24336.375
1425,600609.SH,20140121,2.8,2.83,2.78,2.82,2.81,0.01,0.36,57594.97,16175.397
1424,600609.SH,20140122,2.83,2.88,2.8,2.87,2.82,0.05,1.77,76533.36,21803.184
1423,600609.SH,20140123,2.87,2.95,2.85,2.89,2.87,0.02,0.7,107713.87,31368.666
1422,600609.SH,20140124,2.87,2.96,2.86,2.89,2.89,0.0,0.0,90797.81,26440.871
1421,600609.SH,20140127,2.88,2.91,2.83,2.84,2.89,-0.05,-1.73,80278.46,22980.415
1420,600609.SH,20140128,2.84,2.87,2.83,2.86,2.84,0.02,0.7,31490.63,8973.699
1419,600609.SH,20140129,2.85,2.88,2.84,2.85,2.86,-0.01,-0.35,32506.41,9287.622
1418,600609.SH,20140130,2.85,2.85,2.78,2.81,2.85,-0.04,-1.4,35767.37,10089.243
1417,600609.SH,20140207,2.8,2.85,2.78,2.84,2.81,0.03,1.07,31501.81,8906.533
1416,600609.SH,20140210,2.83,2.99,2.83,2.99,2.84,0.15,5.28,150942.35,44440.567
1415,600609.SH,20140211,2.98,3.05,2.95,2.96,2.99,-0.03,-1.0,124743.68,37238.163
1414,600609.SH,20140212,2.96,3.04,2.94,3.01,2.96,0.05,1.69,106265.34,31823.539
1413,600609.SH,20140213,3.01,3.15,2.98,3.02,3.01,0.01,0.33,155297.26,47733.917
1412,600609.SH,20140214,3.0,3.04,2.99,3.03,3.02,0.01,0.33,65540.66,19738.928
1411,600609.SH,20140217,3.03,3.11,3.0,3.08,3.03,0.05,1.65,103246.2,31619.118
1410,600609.SH,20140218,3.05,3.09,2.99,3.03,3.08,-0.05,-1.62,123252.91,37282.416
1409,600609.SH,20140219,3.03,3.31,3.0,3.15,3.03,0.12,3.96,256138.1,80415.576
1408,600609.SH,20140220,3.11,3.2,3.05,3.08,3.15,-0.07,-2.22,150989.38,47206.209
1407,600609.SH,20140221,3.05,3.14,3.03,3.07,3.08,-0.01,-0.32,93283.17,28624.857
1406,600609.SH,20140224,3.05,3.05,2.96,2.99,3.07,-0.08,-2.61,84519.97,25301.61
1405,600609.SH,20140225,3.0,3.02,2.9,2.91,2.99,-0.08,-2.68,75167.67,22338.739
1404,600609.SH,20140226,2.88,2.97,2.86,2.96,2.91,0.05,1.72,63137.51,18490.942
1403,600609.SH,20140227,2.96,3.07,2.94,2.95,2.96,-0.01,-0.34,91634.74,27548.5
1402,600609.SH,20140228,2.94,3.0,2.9,2.99,2.95,0.04,1.36,57040.7,16844.293
1401,600609.SH,20140303,3.02,3.08,3.0,3.04,2.99,0.05,1.67,74443.84,22563.297
1400,600609.SH,20140304,3.02,3.06,3.0,3.04,3.04,0.0,0.0,58073.81,17602.815
1399,600609.SH,20140305,3.05,3.13,3.01,3.02,3.04,-0.02,-0.66,94933.96,29111.749
1398,600609.SH,20140306,3.0,3.03,2.96,3.01,3.02,-0.01,-0.33,54288.87,16257.74
1397,600609.SH,20140307,3.0,3.04,2.98,3.0,3.01,-0.01,-0.33,49944.51,15016.422
1396,600609.SH,20140310,3.0,3.0,2.85,2.85,3.0,-0.15,-5.0,75628.62,22014.605
1395,600609.SH,20140311,2.82,2.9,2.82,2.87,2.85,0.02,0.7,36613.82,10480.738
1394,600609.SH,20140312,2.87,2.89,2.83,2.87,2.87,0.0,0.0,40323.68,11542.963
1393,600609.SH,20140313,2.87,2.9,2.86,2.9,2.87,0.03,1.05,43336.26,12500.533
1392,600609.SH,20140314,2.88,2.91,2.84,2.86,2.9,-0.04,-1.38,35993.34,10341.521
1391,600609.SH,20140317,2.85,2.92,2.85,2.91,2.86,0.05,1.75,40834.66,11840.022
1390,600609.SH,20140318,2.92,2.96,2.9,2.93,2.91,0.02,0.69,42999.97,12604.396
1389,600609.SH,20140319,2.91,2.91,2.85,2.9,2.93,-0.03,-1.02,37776.02,10902.529
1388,600609.SH,20140320,2.87,2.91,2.84,2.84,2.9,-0.06,-2.07,49078.04,14081.381
1387,600609.SH,20140321,2.84,2.91,2.81,2.88,2.84,0.04,1.41,54715.5,15631.364
1386,600609.SH,20140324,2.89,2.92,2.87,2.91,2.88,0.03,1.04,54359.75,15748.759
1385,600609.SH,20140325,2.91,2.96,2.89,2.94,2.91,0.03,1.03,61266.83,17945.464
1384,600609.SH,20140326,2.95,2.96,2.9,2.93,2.94,-0.01,-0.34,61506.2,17955.613
1383,600609.SH,20140327,2.92,2.94,2.89,2.89,2.93,-0.04,-1.37,58009.11,16880.481
1382,600609.SH,20140328,2.89,2.91,2.85,2.85,2.89,-0.04,-1.38,57797.53,16612.059
1381,600609.SH,20140331,2.85,2.88,2.83,2.85,2.85,0.0,0.0,35740.43,10198.439
1380,600609.SH,20140401,2.84,2.9,2.84,2.88,2.85,0.03,1.05,27223.53,7823.728
1379,600609.SH,20140402,2.88,3.03,2.86,2.94,2.88,0.06,2.08,113049.51,33332.874
1378,600609.SH,20140403,2.92,2.94,2.86,2.88,2.94,-0.06,-2.04,66119.7,19115.117
1377,600609.SH,20140404,2.87,2.98,2.87,2.94,2.88,0.06,2.08,99540.74,29312.566
1376,600609.SH,20140408,2.91,2.98,2.89,2.97,2.94,0.03,1.02,105108.99,30954.154
1375,600609.SH,20140409,2.96,2.98,2.92,2.95,2.97,-0.02,-0.67,45970.23,13551.79
1374,600609.SH,20140410,2.95,2.98,2.93,2.96,2.95,0.01,0.34,53816.38,15906.159
1373,600609.SH,20140411,2.95,2.98,2.93,2.95,2.96,-0.01,-0.34,38464.7,11335.193
1372,600609.SH,20140414,2.97,2.97,2.93,2.95,2.95,0.0,0.0,30730.84,9056.711
1371,600609.SH,20140415,2.96,2.97,2.94,2.95,2.95,0.0,0.0,42786.88,12635.22
1370,600609.SH,20140416,2.94,2.97,2.93,2.96,2.95,0.01,0.34,54151.23,16000.03
1369,600609.SH,20140417,2.96,2.97,2.92,2.93,2.96,-0.03,-1.01,39060.65,11481.085
1368,600609.SH,20140418,2.93,2.93,2.88,2.88,2.93,-0.05,-1.71,53110.9,15400.475
1367,600609.SH,20140421,2.88,2.88,2.83,2.84,2.88,-0.04,-1.39,55857.74,15927.352
1366,600609.SH,20140422,2.84,2.86,2.81,2.84,2.84,0.0,0.0,29311.85,8301.91
1365,600609.SH,20140423,2.84,2.86,2.81,2.86,2.84,0.02,0.7,26047.84,7400.705
1364,600609.SH,20140424,2.85,3.01,2.82,2.99,2.86,0.13,4.55,216121.55,63729.334
1363,600609.SH,20140425,2.96,3.05,2.92,2.98,2.99,-0.01,-0.33,245556.44,73158.726
1362,600609.SH,20140428,2.95,3.04,2.9,2.99,2.98,0.01,0.34,200013.2,59498.16
1361,600609.SH,20140429,3.0,3.08,2.96,2.99,2.99,0.0,0.0,173539.36,52102.722
1360,600609.SH,20140430,2.97,2.99,2.84,2.88,2.99,-0.11,-3.68,137929.37,39996.5
1359,600609.SH,20140505,2.86,2.87,2.82,2.87,2.88,-0.01,-0.35,86025.26,24428.266
1358,600609.SH,20140506,2.86,2.9,2.84,2.86,2.87,-0.01,-0.35,48203.78,13832.632
1357,600609.SH,20140507,2.85,2.86,2.82,2.83,2.86,-0.03,-1.05,37573.58,10650.69
1356,600609.SH,20140508,2.83,2.86,2.77,2.8,2.83,-0.03,-1.06,73292.13,20597.588
1355,600609.SH,20140509,2.8,2.81,2.75,2.78,2.8,-0.02,-0.71,47065.79,13070.189
1354,600609.SH,20140512,2.81,2.85,2.78,2.84,2.78,0.06,2.16,50649.39,14282.53
1353,600609.SH,20140513,2.84,2.86,2.82,2.82,2.84,-0.02,-0.7,33074.57,9382.268
1352,600609.SH,20140514,2.83,2.84,2.81,2.83,2.82,0.01,0.35,22198.39,6259.933
1351,600609.SH,20140515,2.83,2.83,2.76,2.77,2.83,-0.06,-2.12,32450.36,9044.887
1350,600609.SH,20140516,2.77,2.79,2.75,2.78,2.77,0.01,0.36,26664.82,7383.879
1349,600609.SH,20140519,2.77,2.8,2.72,2.74,2.78,-0.04,-1.44,28692.67,7912.162
1348,600609.SH,20140520,2.73,2.77,2.73,2.73,2.74,-0.01,-0.37,27840.34,7638.527
1347,600609.SH,20140521,2.73,2.76,2.71,2.76,2.73,0.03,1.1,24252.27,6649.767
1346,600609.SH,20140522,2.76,2.78,2.73,2.74,2.76,-0.02,-0.72,30174.0,8316.233
1345,600609.SH,20140523,2.74,2.84,2.74,2.78,2.74,0.04,1.46,58499.36,16326.249
1344,600609.SH,20140526,2.77,2.82,2.77,2.79,2.78,0.01,0.36,35719.47,9974.331
1343,600609.SH,20140527,2.79,2.79,2.76,2.76,2.79,-0.03,-1.08,18013.0,5000.976
1342,600609.SH,20140528,2.77,2.8,2.75,2.78,2.76,0.02,0.72,25788.75,7162.645
1341,600609.SH,20140529,2.79,2.79,2.75,2.75,2.78,-0.03,-1.08,25455.81,7037.758
1340,600609.SH,20140530,2.74,2.78,2.74,2.78,2.75,0.03,1.09,22007.71,6088.864
1339,600609.SH,20140603,2.78,2.78,2.74,2.74,2.78,-0.04,-1.44,24338.01,6709.019
1338,600609.SH,20140604,2.74,2.76,2.7,2.72,2.74,-0.02,-0.73,32308.32,8794.186
1337,600609.SH,20140605,2.72,2.73,2.71,2.73,2.72,0.01,0.37,28112.78,7645.267
1336,600609.SH,20140606,2.73,2.73,2.7,2.71,2.73,-0.02,-0.73,18197.46,4938.063
1335,600609.SH,20140609,2.72,2.74,2.7,2.71,2.71,0.0,0.0,30641.01,8331.034
1334,600609.SH,20140610,2.71,2.78,2.71,2.74,2.71,0.03,1.11,39152.03,10749.037
1333,600609.SH,20140611,2.75,2.75,2.72,2.74,2.74,0.0,0.0,26490.01,7236.486
1332,600609.SH,20140612,2.74,2.74,2.7,2.71,2.74,-0.03,-1.09,36650.61,9949.818
1331,600609.SH,20140613,2.71,2.74,2.7,2.73,2.71,0.02,0.74,29402.18,8004.724
1330,600609.SH,20140616,2.71,2.74,2.71,2.73,2.73,0.0,0.0,46184.11,12583.795
1329,600609.SH,20140617,2.73,2.73,2.7,2.71,2.73,-0.02,-0.73,37745.84,10234.339
1328,600609.SH,20140618,2.71,2.98,2.66,2.98,2.71,0.27,9.96,305454.48,87217.891
1327,600609.SH,20140619,2.9,2.97,2.74,2.8,2.98,-0.18,-6.04,293104.04,84002.208
1326,600609.SH,20140620,2.78,2.91,2.73,2.82,2.8,0.02,0.71,196004.76,55794.783
1325,600609.SH,20140623,2.82,2.88,2.78,2.81,2.82,-0.01,-0.35,99417.7,28020.869
1324,600609.SH,20140624,2.81,2.83,2.77,2.77,2.81,-0.04,-1.42,85698.0,23958.341
1323,600609.SH,20140625,2.78,2.87,2.77,2.79,2.77,0.02,0.72,119796.05,33866.121
1322,600609.SH,20140626,2.79,2.84,2.78,2.84,2.79,0.05,1.79,79056.44,22203.918
1321,600609.SH,20140627,2.82,3.05,2.8,2.92,2.84,0.08,2.82,233374.35,68234.45
1320,600609.SH,20140630,2.87,2.91,2.86,2.88,2.92,-0.04,-1.37,142956.61,41229.039
1319,600609.SH,20140701,2.87,2.97,2.87,2.91,2.88,0.03,1.04,101814.27,29701.141
