,code,name,cl,cljg,qz,files,gxsj
131,300453,三鑫医疗,策略6,ai样本买点,10,aiyb10,202008191728
205,300086,康芝药业,策略6,ai样本买点,10,aiyb10,202008191728
217,300314,戴维医疗,策略6,ai样本买点,10,aiyb10,202008191728
262,002367,康力电梯,策略6,ai样本买点,10,aiyb10,202008191728
327,300174,元力股份,策略6,ai样本买点,10,aiyb10,202008191728
376,300459,金科文化,策略6,ai样本买点,10,aiyb10,202008191728
379,603605,珀莱雅,策略6,ai样本买点,10,aiyb10,202008191728
454,300660,江苏雷利,策略6,ai样本买点,10,aiyb10,202008191728
460,300014,亿纬锂能,策略6,ai样本买点,10,aiyb10,202008191728
496,300465,高伟达,策略6,ai样本买点,10,aiyb10,202008191728
499,600415,小商品城,策略6,ai样本买点,10,aiyb10,202008191728
525,002187,广百股份,策略6,ai样本买点,10,aiyb10,202008191728
532,002850,科达利,策略6,ai样本买点,10,aiyb10,202008191728
537,603277,银都股份,策略6,ai样本买点,10,aiyb10,202008191728
540,600422,昆药集团,策略6,ai样本买点,10,aiyb10,202008191728
548,002822,中装建设,策略6,ai样本买点,10,aiyb10,202008191728
581,002937,兴瑞科技,策略6,ai样本买点,10,aiyb10,202008191728
588,300272,开能健康,策略6,ai样本买点,10,aiyb10,202008191728
590,002551,尚荣医疗,策略6,ai样本买点,10,aiyb10,202008191728
654,300602,飞荣达,策略6,ai样本买点,10,aiyb10,202008191728
698,000676,智度股份,策略6,ai样本买点,10,aiyb10,202008191728
703,300633,开立医疗,策略6,ai样本买点,10,aiyb10,202008191728
723,002240,威华股份,策略6,ai样本买点,10,aiyb10,202008191728
740,000426,兴业矿业,策略6,ai样本买点,10,aiyb10,202008191728
762,300687,赛意信息,策略6,ai样本买点,10,aiyb10,202008191728
785,300760,迈瑞医疗,策略6,ai样本买点,10,aiyb10,202008191728
793,002731,萃华珠宝,策略6,ai样本买点,10,aiyb10,202008191728
810,002817,黄山胶囊,策略6,ai样本买点,10,aiyb10,202008191728
820,300281,金明精机,策略6,ai样本买点,10,aiyb10,202008191728
826,002410,广联达,策略6,ai样本买点,10,aiyb10,202008191728
836,600070,浙江富润,策略6,ai样本买点,10,aiyb10,202008191728
867,600479,千金药业,策略6,ai样本买点,10,aiyb10,202008191728
883,000766,通化金马,策略6,ai样本买点,10,aiyb10,202008191728
899,300484,蓝海华腾,策略6,ai样本买点,10,aiyb10,202008191728
927,002050,三花智控,策略6,ai样本买点,10,aiyb10,202008191728
964,300745,欣锐科技,策略6,ai样本买点,10,aiyb10,202008191728
987,002449,国星光电,策略6,ai样本买点,10,aiyb10,202008191728
1000,002166,莱茵生物,策略6,ai样本买点,10,aiyb10,202008191728
1019,300035,中科电气,策略6,ai样本买点,10,aiyb10,202008191728
1026,000597,东北制药,策略6,ai样本买点,10,aiyb10,202008191728
1049,002737,葵花药业,策略6,ai样本买点,10,aiyb10,202008191728
1059,603383,顶点软件,策略6,ai样本买点,10,aiyb10,202008191728
1076,603590,康辰药业,策略6,ai样本买点,10,aiyb10,202008191728
1083,603690,至纯科技,策略6,ai样本买点,10,aiyb10,202008191728
1089,300496,中科创达,策略6,ai样本买点,10,aiyb10,202008191728
1121,002644,佛慈制药,策略6,ai样本买点,10,aiyb10,202008191728
1129,603998,方盛制药,策略6,ai样本买点,10,aiyb10,202008191728
1135,603005,晶方科技,策略6,ai样本买点,10,aiyb10,202008191728
1163,002932,明德生物,策略6,ai样本买点,10,aiyb10,202008191728
1186,300220,金运激光,策略6,ai样本买点,10,aiyb10,202008191728
1189,300097,智云股份,策略6,ai样本买点,10,aiyb10,202008191728
1222,300296,利亚德,策略6,ai样本买点,10,aiyb10,202008191728
1231,600750,江中药业,策略6,ai样本买点,10,aiyb10,202008191728
1234,300663,科蓝软件,策略6,ai样本买点,10,aiyb10,202008191728
1247,300684,中石科技,策略6,ai样本买点,10,aiyb10,202008191728
1255,002892,科力尔,策略6,ai样本买点,10,aiyb10,202008191728
1286,300168,万达信息,策略6,ai样本买点,10,aiyb10,202008191728
1314,300160,秀强股份,策略6,ai样本买点,10,aiyb10,202008191728
1336,300326,凯利泰,策略6,ai样本买点,10,aiyb10,202008191728
1348,002841,视源股份,策略6,ai样本买点,10,aiyb10,202008191728
1351,300408,三环集团,策略6,ai样本买点,10,aiyb10,202008191728
1365,300399,京天利,策略6,ai样本买点,10,aiyb10,202008191728
1381,002093,国脉科技,策略6,ai样本买点,10,aiyb10,202008191728
1400,002898,赛隆药业,策略6,ai样本买点,10,aiyb10,202008191728
1418,600053,九鼎投资,策略6,ai样本买点,10,aiyb10,202008191728
1447,600708,光明地产,策略6,ai样本买点,10,aiyb10,202008191728
1479,300441,鲍斯股份,策略6,ai样本买点,10,aiyb10,202008191728
1544,300674,宇信科技,策略6,ai样本买点,10,aiyb10,202008191728
1561,000889,中嘉博创,策略6,ai样本买点,10,aiyb10,202008191728
1573,603726,朗迪集团,策略6,ai样本买点,10,aiyb10,202008191728
1598,600993,马应龙,策略6,ai样本买点,10,aiyb10,202008191728
1629,300315,掌趣科技,策略6,ai样本买点,10,aiyb10,202008191728
1650,000035,中国天楹,策略6,ai样本买点,10,aiyb10,202008191728
1669,603920,世运电路,策略6,ai样本买点,10,aiyb10,202008191728
1706,002740,爱迪尔,策略6,ai样本买点,10,aiyb10,202008191728
1718,603912,佳力图,策略6,ai样本买点,10,aiyb10,202008191728
1774,603578,三星新材,策略6,ai样本买点,10,aiyb10,202008191728
1813,601968,宝钢包装,策略6,ai样本买点,10,aiyb10,202008191728
1817,002819,东方中科,策略6,ai样本买点,10,aiyb10,202008191728
1829,603706,东方环宇,策略6,ai样本买点,10,aiyb10,202008191728
1867,002876,三利谱,策略6,ai样本买点,10,aiyb10,202008191728
1876,002223,鱼跃医疗,策略6,ai样本买点,10,aiyb10,202008191728
1960,603633,徕木股份,策略6,ai样本买点,10,aiyb10,202008191728
1967,300204,舒泰神,策略6,ai样本买点,10,aiyb10,202008191728
1984,002782,可立克,策略6,ai样本买点,10,aiyb10,202008191728
1986,603602,纵横通信,策略6,ai样本买点,10,aiyb10,202008191728
2002,300454,深信服,策略6,ai样本买点,10,aiyb10,202008191728
2007,002338,奥普光电,策略6,ai样本买点,10,aiyb10,202008191728
2017,600522,中天科技,策略6,ai样本买点,10,aiyb10,202008191728
2038,300356,光一科技,策略6,ai样本买点,10,aiyb10,202008191728
2096,600658,电子城,策略6,ai样本买点,10,aiyb10,202008191728
2101,603986,兆易创新,策略6,ai样本买点,10,aiyb10,202008191728
2135,600566,济川药业,策略6,ai样本买点,10,aiyb10,202008191728
2138,600198,大唐电信,策略6,ai样本买点,10,aiyb10,202008191728
2140,600785,新华百货,策略6,ai样本买点,10,aiyb10,202008191728
2235,300731,科创新源,策略6,ai样本买点,10,aiyb10,202008191728
2243,000062,深圳华强,策略6,ai样本买点,10,aiyb10,202008191728
2265,300753,爱朋医疗,策略6,ai样本买点,10,aiyb10,202008191728
2292,300194,福安药业,策略6,ai样本买点,10,aiyb10,202008191728
2301,000049,德赛电池,策略6,ai样本买点,10,aiyb10,202008191728
2337,002091,江苏国泰,策略6,ai样本买点,10,aiyb10,202008191728
2345,000009,中国宝安,策略6,ai样本买点,10,aiyb10,202008191728
2347,300595,欧普康视,策略6,ai样本买点,10,aiyb10,202008191728
2360,603567,珍宝岛,策略6,ai样本买点,10,aiyb10,202008191728
2364,002281,光迅科技,策略6,ai样本买点,10,aiyb10,202008191728
2401,002194,武汉凡谷,策略6,ai样本买点,10,aiyb10,202008191728
2433,601116,三江购物,策略6,ai样本买点,10,aiyb10,202008191728
2450,603015,弘讯科技,策略6,ai样本买点,10,aiyb10,202008191728
2459,002627,宜昌交运,策略6,ai样本买点,10,aiyb10,202008191728
2460,002098,浔兴股份,策略6,ai样本买点,10,aiyb10,202008191728
2520,600901,江苏租赁,策略6,ai样本买点,10,aiyb10,202008191728
2533,002107,沃华医药,策略6,ai样本买点,10,aiyb10,202008191728
2571,300631,久吾高科,策略6,ai样本买点,10,aiyb10,202008191728
2628,300440,运达科技,策略6,ai样本买点,10,aiyb10,202008191728
2632,000756,新华制药,策略6,ai样本买点,10,aiyb10,202008191728
2654,000419,通程控股,策略6,ai样本买点,10,aiyb10,202008191728
2659,300347,泰格医药,策略6,ai样本买点,10,aiyb10,202008191728
2697,600487,亨通光电,策略6,ai样本买点,10,aiyb10,202008191728
2757,300295,三六五网,策略6,ai样本买点,10,aiyb10,202008191728
2765,002881,美格智能,策略6,ai样本买点,10,aiyb10,202008191728
2771,600380,健康元,策略6,ai样本买点,10,aiyb10,202008191728
2776,600588,用友网络,策略6,ai样本买点,10,aiyb10,202008191728
2820,601360,三六零,策略6,ai样本买点,10,aiyb10,202008191728
2825,000538,云南白药,策略6,ai样本买点,10,aiyb10,202008191728
2847,603181,皇马科技,策略6,ai样本买点,10,aiyb10,202008191728
2852,300409,道氏技术,策略6,ai样本买点,10,aiyb10,202008191728
2879,002751,易尚展示,策略6,ai样本买点,10,aiyb10,202008191728
2885,300575,中旗股份,策略6,ai样本买点,10,aiyb10,202008191728
2899,300041,回天新材,策略6,ai样本买点,10,aiyb10,202008191728
2927,600438,通威股份,策略6,ai样本买点,10,aiyb10,202008191728
2936,002738,中矿资源,策略6,ai样本买点,10,aiyb10,202008191728
2965,002214,大立科技,策略6,ai样本买点,10,aiyb10,202008191728
3013,600639,浦东金桥,策略6,ai样本买点,10,aiyb10,202008191728
3029,603868,飞科电器,策略6,ai样本买点,10,aiyb10,202008191728
3036,002925,盈趣科技,策略6,ai样本买点,10,aiyb10,202008191728
3053,600256,广汇能源,策略6,ai样本买点,10,aiyb10,202008191728
3098,601018,宁波港,策略6,ai样本买点,10,aiyb10,202008191728
3163,002277,友阿股份,策略6,ai样本买点,10,aiyb10,202008191728
3220,300620,光库科技,策略6,ai样本买点,10,aiyb10,202008191728
3235,002745,木林森,策略6,ai样本买点,10,aiyb10,202008191728
3276,600519,贵州茅台,策略6,ai样本买点,10,aiyb10,202008191728
3280,002203,海亮股份,策略6,ai样本买点,10,aiyb10,202008191728
3306,603829,洛凯股份,策略6,ai样本买点,10,aiyb10,202008191728
3341,000661,长春高新,策略6,ai样本买点,10,aiyb10,202008191728
3441,601988,中国银行,策略6,ai样本买点,10,aiyb10,202008191728
3460,600190,锦州港,策略6,ai样本买点,10,aiyb10,202008191728
3477,601933,永辉超市,策略6,ai样本买点,10,aiyb10,202008191728
3554,002428,云南锗业,策略6,ai样本买点,10,aiyb10,202008191728
3586,603895,天永智能,策略6,ai样本买点,10,aiyb10,202008191728
3595,300072,三聚环保,策略6,ai样本买点,10,aiyb10,202008191728
3649,600818,中路股份,策略6,ai样本买点,10,aiyb10,202008191728
3655,002224,三 力 士,策略6,ai样本买点,10,aiyb10,202008191728
3742,000931,中 关 村,策略6,ai样本买点,10,aiyb10,202008191728
3769,000096,广聚能源,策略6,ai样本买点,10,aiyb10,202008191728
3850,000417,合肥百货,策略6,ai样本买点,10,aiyb10,202008191728
3878,600620,天宸股份,策略6,ai样本买点,10,aiyb10,202008191728
3892,300009,安科生物,策略6,ai样本买点,10,aiyb10,202008191728
3901,600560,金自天正,策略6,ai样本买点,10,aiyb10,202008191728
3928,300683,海特生物,策略6,ai样本买点,10,aiyb10,202008191728
3936,300412,迦南科技,策略6,ai样本买点,10,aiyb10,202008191728
3938,600851,海欣股份,策略6,ai样本买点,10,aiyb10,202008191728
3958,002492,恒基达鑫,策略6,ai样本买点,10,aiyb10,202008191728
3964,603113,金能科技,策略6,ai样本买点,10,aiyb10,202008191728
4027,600779,水井坊,策略6,ai样本买点,10,aiyb10,202008191728
4032,300049,福瑞股份,策略6,ai样本买点,10,aiyb10,202008191728
4063,002798,帝欧家居,策略6,ai样本买点,10,aiyb10,202008191728
4071,002239,奥特佳,策略6,ai样本买点,10,aiyb10,202008191728
4137,603041,美思德,策略6,ai样本买点,10,aiyb10,202008191728
4155,002366,台海核电,策略6,ai样本买点,10,aiyb10,202008191728
4163,300491,通合科技,策略6,ai样本买点,10,aiyb10,202008191728
4178,600338,西藏珠峰,策略6,ai样本买点,10,aiyb10,202008191728
4225,603727,博迈科,策略6,ai样本买点,10,aiyb10,202008191728
4277,000403,双林生物,策略6,ai样本买点,10,aiyb10,202008191728
4285,600732,爱旭股份,策略6,ai样本买点,10,aiyb10,202008191728
4304,600456,宝钛股份,策略6,ai样本买点,10,aiyb10,202008191728
4308,300722,新余国科,策略6,ai样本买点,10,aiyb10,202008191728
4334,000698,沈阳化工,策略6,ai样本买点,10,aiyb10,202008191728
4347,603717,天域生态,策略6,ai样本买点,10,aiyb10,202008191728
4351,300362,天翔环境,策略6,ai样本买点,10,aiyb10,202008191728
