,code,name,cl,clname,gxsj
20,002205,国统股份,1,策略6----背驰6 bc6,202007112220
53,600628,新世界,1,策略6----背驰6 bc6,202007112220
57,300375,鹏翎股份,1,策略6----背驰6 bc6,202007112220
81,300644,南京聚隆,1,策略6----背驰6 bc6,202007112220
88,300401,花园生物,1,策略6----背驰6 bc6,202007112220
93,000713,丰乐种业,1,策略6----背驰6 bc6,202007112220
120,603579,荣泰健康,1,策略6----背驰6 bc6,202007112220
156,000779,甘咨询,1,策略6----背驰6 bc6,202007112220
165,603608,天创时尚,1,策略6----背驰6 bc6,202007112220
190,600838,上海九百,1,策略6----背驰6 bc6,202007112220
223,600419,天润乳业,1,策略6----背驰6 bc6,202007112220
231,600600,青岛啤酒,1,策略6----背驰6 bc6,202007112220
274,603020,爱普股份,1,策略6----背驰6 bc6,202007112220
312,002475,立讯精密,1,策略6----背驰6 bc6,202007112220
318,002277,友阿股份,1,策略6----背驰6 bc6,202007112220
385,000514,渝 开 发,1,策略6----背驰6 bc6,202007112220
396,002124,天邦股份,1,策略6----背驰6 bc6,202007112220
414,600723,首商股份,1,策略6----背驰6 bc6,202007112220
486,300198,纳川股份,1,策略6----背驰6 bc6,202007112220
491,300480,光力科技,1,策略6----背驰6 bc6,202007112220
498,600872,中炬高新,1,策略6----背驰6 bc6,202007112220
564,603937,丽岛新材,1,策略6----背驰6 bc6,202007112220
589,600297,广汇汽车,1,策略6----背驰6 bc6,202007112220
602,603638,艾迪精密,1,策略6----背驰6 bc6,202007112220
618,002616,长青集团,1,策略6----背驰6 bc6,202007112220
665,300110,华仁药业,1,策略6----背驰6 bc6,202007112220
675,002776,柏堡龙,1,策略6----背驰6 bc6,202007112220
680,002293,罗莱生活,1,策略6----背驰6 bc6,202007112220
701,600257,大湖股份,1,策略6----背驰6 bc6,202007112220
709,002799,环球印务,1,策略6----背驰6 bc6,202007112220
740,600316,洪都航空,1,策略6----背驰6 bc6,202007112220
819,300048,合康新能,1,策略6----背驰6 bc6,202007112220
874,000800,一汽轿车,1,策略6----背驰6 bc6,202007112220
946,300023,宝德股份,1,策略6----背驰6 bc6,202007112220
999,002248,华东数控,1,策略6----背驰6 bc6,202007112220
1042,600639,浦东金桥,1,策略6----背驰6 bc6,202007112220
1053,000027,深圳能源,1,策略6----背驰6 bc6,202007112220
1058,600276,恒瑞医药,1,策略6----背驰6 bc6,202007112220
1067,603788,宁波高发,1,策略6----背驰6 bc6,202007112220
1092,002827,高争民爆,1,策略6----背驰6 bc6,202007112220
1180,000880,潍柴重机,1,策略6----背驰6 bc6,202007112220
1222,603580,艾艾精工,1,策略6----背驰6 bc6,202007112220
1273,600969,郴电国际,1,策略6----背驰6 bc6,202007112220
1294,002875,安奈儿,1,策略6----背驰6 bc6,202007112220
1309,002252,上海莱士,1,策略6----背驰6 bc6,202007112220
1335,002801,微光股份,1,策略6----背驰6 bc6,202007112220
1428,002558,巨人网络,1,策略6----背驰6 bc6,202007112220
1465,603737,三棵树,1,策略6----背驰6 bc6,202007112220
1468,603233,大参林,1,策略6----背驰6 bc6,202007112220
1487,603315,福鞍股份,1,策略6----背驰6 bc6,202007112220
1507,002570,贝因美,1,策略6----背驰6 bc6,202007112220
1525,300169,天晟新材,1,策略6----背驰6 bc6,202007112220
