,code,name,cl,cljg,qz,files,gxsj
2,600257,大湖股份,策略5,趋同折点买前,6,bsq6,202008051532
5,000790,华神科技,策略5,趋同折点买前,6,bsq6,202008051532
8,300155,安居宝,策略5,趋同折点买前,6,bsq6,202008051532
11,600295,鄂尔多斯,策略5,趋同折点买前,6,bsq6,202008051532
13,600613,神奇制药,策略5,趋同折点买前,6,bsq6,202008051532
16,600749,西藏旅游,策略5,趋同折点买前,6,bsq6,202008051532
20,300323,华灿光电,策略5,趋同折点买前,6,bsq6,202008051532
26,603598,引力传媒,策略5,趋同折点买前,6,bsq6,202008051532
31,603987,康德莱,策略5,趋同折点买前,6,bsq6,202008051532
37,300119,瑞普生物,策略5,趋同折点买前,6,bsq6,202008051532
42,002600,领益智造,策略5,趋同折点买前,6,bsq6,202008051532
49,603630,拉芳家化,策略5,趋同折点买前,6,bsq6,202008051532
52,601216,君正集团,策略5,趋同折点买前,6,bsq6,202008051532
55,002826,易明医药,策略5,趋同折点买前,6,bsq6,202008051532
60,600336,澳柯玛,策略5,趋同折点买前,6,bsq6,202008051532
63,603718,海利生物,策略5,趋同折点买前,6,bsq6,202008051532
71,002138,顺络电子,策略5,趋同折点买前,6,bsq6,202008051532
82,600095,哈高科,策略5,趋同折点买前,6,bsq6,202008051532
93,600211,西藏药业,策略5,趋同折点买前,6,bsq6,202008051532
96,002626,金达威,策略5,趋同折点买前,6,bsq6,202008051532
109,603722,阿科力,策略5,趋同折点买前,6,bsq6,202008051532
114,300551,古鳌科技,策略5,趋同折点买前,6,bsq6,202008051532
121,300242,佳云科技,策略5,趋同折点买前,6,bsq6,202008051532
133,000757,浩物股份,策略5,趋同折点买前,6,bsq6,202008051532
136,000421,南京公用,策略5,趋同折点买前,6,bsq6,202008051532
141,002371,北方华创,策略5,趋同折点买前,6,bsq6,202008051532
150,603976,正川股份,策略5,趋同折点买前,6,bsq6,202008051532
153,000411,英特集团,策略5,趋同折点买前,6,bsq6,202008051532
156,000026,飞亚达,策略5,趋同折点买前,6,bsq6,202008051532
161,300030,阳普医疗,策略5,趋同折点买前,6,bsq6,202008051532
166,002082,万邦德,策略5,趋同折点买前,6,bsq6,202008051532
169,300690,双一科技,策略5,趋同折点买前,6,bsq6,202008051532
176,600531,豫光金铅,策略5,趋同折点买前,6,bsq6,202008051532
180,603676,卫信康,策略5,趋同折点买前,6,bsq6,202008051532
183,000518,四环生物,策略5,趋同折点买前,6,bsq6,202008051532
192,600097,开创国际,策略5,趋同折点买前,6,bsq6,202008051532
196,300453,三鑫医疗,策略5,趋同折点买前,6,bsq6,202008051532
201,000785,居然之家,策略5,趋同折点买前,6,bsq6,202008051532
209,601222,林洋能源,策略5,趋同折点买前,6,bsq6,202008051532
212,002425,凯撒文化,策略5,趋同折点买前,6,bsq6,202008051532
215,601619,嘉泽新能,策略5,趋同折点买前,6,bsq6,202008051532
224,000798,中水渔业,策略5,趋同折点买前,6,bsq6,202008051532
227,000637,茂化实华,策略5,趋同折点买前,6,bsq6,202008051532
237,002103,广博股份,策略5,趋同折点买前,6,bsq6,202008051532
240,002386,天原集团,策略5,趋同折点买前,6,bsq6,202008051532
241,300063,天龙集团,策略5,趋同折点买前,6,bsq6,202008051532
249,300094,国联水产,策略5,趋同折点买前,6,bsq6,202008051532
252,002241,歌尔股份,策略5,趋同折点买前,6,bsq6,202008051532
259,600812,华北制药,策略5,趋同折点买前,6,bsq6,202008051532
268,600467,好当家,策略5,趋同折点买前,6,bsq6,202008051532
274,300303,聚飞光电,策略5,趋同折点买前,6,bsq6,202008051532
281,601888,中国中免,策略5,趋同折点买前,6,bsq6,202008051532
287,600810,神马股份,策略5,趋同折点买前,6,bsq6,202008051532
296,000990,诚志股份,策略5,趋同折点买前,6,bsq6,202008051532
302,603301,振德医疗,策略5,趋同折点买前,6,bsq6,202008051532
308,601636,旗滨集团,策略5,趋同折点买前,6,bsq6,202008051532
311,300648,星云股份,策略5,趋同折点买前,6,bsq6,202008051532
313,002537,海联金汇,策略5,趋同折点买前,6,bsq6,202008051532
316,300086,康芝药业,策略5,趋同折点买前,6,bsq6,202008051532
320,000032,深桑达Ａ,策略5,趋同折点买前,6,bsq6,202008051532
323,603339,四方科技,策略5,趋同折点买前,6,bsq6,202008051532
328,000829,天音控股,策略5,趋同折点买前,6,bsq6,202008051532
330,600693,东百集团,策略5,趋同折点买前,6,bsq6,202008051532
334,300314,戴维医疗,策略5,趋同折点买前,6,bsq6,202008051532
338,600884,杉杉股份,策略5,趋同折点买前,6,bsq6,202008051532
340,000791,甘肃电投,策略5,趋同折点买前,6,bsq6,202008051532
345,300390,天华超净,策略5,趋同折点买前,6,bsq6,202008051532
349,300386,飞天诚信,策略5,趋同折点买前,6,bsq6,202008051532
352,000006,深振业Ａ,策略5,趋同折点买前,6,bsq6,202008051532
358,300232,洲明科技,策略5,趋同折点买前,6,bsq6,202008051532
360,603368,柳药股份,策略5,趋同折点买前,6,bsq6,202008051532
364,000606,顺利办,策略5,趋同折点买前,6,bsq6,202008051532
370,300234,开尔新材,策略5,趋同折点买前,6,bsq6,202008051532
375,300485,赛升药业,策略5,趋同折点买前,6,bsq6,202008051532
379,600135,乐凯胶片,策略5,趋同折点买前,6,bsq6,202008051532
382,002635,安洁科技,策略5,趋同折点买前,6,bsq6,202008051532
388,000011,深物业A,策略5,趋同折点买前,6,bsq6,202008051532
396,002370,亚太药业,策略5,趋同折点买前,6,bsq6,202008051532
400,000028,国药一致,策略5,趋同折点买前,6,bsq6,202008051532
403,300143,盈康生命,策略5,趋同折点买前,6,bsq6,202008051532
413,000078,海王生物,策略5,趋同折点买前,6,bsq6,202008051532
417,601126,四方股份,策略5,趋同折点买前,6,bsq6,202008051532
420,600529,山东药玻,策略5,趋同折点买前,6,bsq6,202008051532
429,002069,獐子岛,策略5,趋同折点买前,6,bsq6,202008051532
432,300241,瑞丰光电,策略5,趋同折点买前,6,bsq6,202008051532
437,300439,美康生物,策略5,趋同折点买前,6,bsq6,202008051532
441,600223,鲁商发展,策略5,趋同折点买前,6,bsq6,202008051532
444,002696,百洋股份,策略5,趋同折点买前,6,bsq6,202008051532
450,002130,沃尔核材,策略5,趋同折点买前,6,bsq6,202008051532
459,002801,微光股份,策略5,趋同折点买前,6,bsq6,202008051532
471,002515,金字火腿,策略5,趋同折点买前,6,bsq6,202008051532
476,002283,天润工业,策略5,趋同折点买前,6,bsq6,202008051532
480,002429,兆驰股份,策略5,趋同折点买前,6,bsq6,202008051532
483,000089,深圳机场,策略5,趋同折点买前,6,bsq6,202008051532
492,300171,东富龙,策略5,趋同折点买前,6,bsq6,202008051532
494,300466,赛摩智能,策略5,趋同折点买前,6,bsq6,202008051532
497,002589,瑞康医药,策略5,趋同折点买前,6,bsq6,202008051532
506,002096,南岭民爆,策略5,趋同折点买前,6,bsq6,202008051532
511,300664,鹏鹞环保,策略5,趋同折点买前,6,bsq6,202008051532
517,601555,东吴证券,策略5,趋同折点买前,6,bsq6,202008051532
522,000530,冰山冷热,策略5,趋同折点买前,6,bsq6,202008051532
537,002666,德联集团,策略5,趋同折点买前,6,bsq6,202008051532
542,300239,东宝生物,策略5,趋同折点买前,6,bsq6,202008051532
548,300443,金雷股份,策略5,趋同折点买前,6,bsq6,202008051532
557,300580,贝斯特,策略5,趋同折点买前,6,bsq6,202008051532
560,002433,太安堂,策略5,趋同折点买前,6,bsq6,202008051532
564,000155,川能动力,策略5,趋同折点买前,6,bsq6,202008051532
573,600998,九州通,策略5,趋同折点买前,6,bsq6,202008051532
575,300433,蓝思科技,策略5,趋同折点买前,6,bsq6,202008051532
586,000537,广宇发展,策略5,趋同折点买前,6,bsq6,202008051532
589,603896,寿仙谷,策略5,趋同折点买前,6,bsq6,202008051532
599,603856,东宏股份,策略5,趋同折点买前,6,bsq6,202008051532
603,300468,四方精创,策略5,趋同折点买前,6,bsq6,202008051532
610,600875,东方电气,策略5,趋同折点买前,6,bsq6,202008051532
618,603969,银龙股份,策略5,趋同折点买前,6,bsq6,202008051532
624,002938,鹏鼎控股,策略5,趋同折点买前,6,bsq6,202008051532
628,300202,聚龙股份,策略5,趋同折点买前,6,bsq6,202008051532
634,600847,万里股份,策略5,趋同折点买前,6,bsq6,202008051532
641,603187,海容冷链,策略5,趋同折点买前,6,bsq6,202008051532
645,000950,重药控股,策略5,趋同折点买前,6,bsq6,202008051532
658,600511,国药股份,策略5,趋同折点买前,6,bsq6,202008051532
665,000153,丰原药业,策略5,趋同折点买前,6,bsq6,202008051532
668,600833,第一医药,策略5,趋同折点买前,6,bsq6,202008051532
673,002170,芭田股份,策略5,趋同折点买前,6,bsq6,202008051532
678,601218,吉鑫科技,策略5,趋同折点买前,6,bsq6,202008051532
682,300102,乾照光电,策略5,趋同折点买前,6,bsq6,202008051532
692,300014,亿纬锂能,策略5,趋同折点买前,6,bsq6,202008051532
696,300129,泰胜风能,策略5,趋同折点买前,6,bsq6,202008051532
700,600200,江苏吴中,策略5,趋同折点买前,6,bsq6,202008051532
702,600195,中牧股份,策略5,趋同折点买前,6,bsq6,202008051532
706,002895,川恒股份,策略5,趋同折点买前,6,bsq6,202008051532
710,002639,雪人股份,策略5,趋同折点买前,6,bsq6,202008051532
717,600881,亚泰集团,策略5,趋同折点买前,6,bsq6,202008051532
723,002654,万润科技,策略5,趋同折点买前,6,bsq6,202008051532
729,603882,金域医学,策略5,趋同折点买前,6,bsq6,202008051532
741,002578,闽发铝业,策略5,趋同折点买前,6,bsq6,202008051532
747,300465,高伟达,策略5,趋同折点买前,6,bsq6,202008051532
754,600662,强生控股,策略5,趋同折点买前,6,bsq6,202008051532
756,002432,九安医疗,策略5,趋同折点买前,6,bsq6,202008051532
758,300110,华仁药业,策略5,趋同折点买前,6,bsq6,202008051532
772,002688,金河生物,策略5,趋同折点买前,6,bsq6,202008051532
776,300199,翰宇药业,策略5,趋同折点买前,6,bsq6,202008051532
