,code,name,cl,cljg,qz,files,gxsj
0,300106,西部牧业,策略2,本块中有冲顶,4,cd,202009040857
3,300176,派生科技,策略2,本块中有冲顶,2,cd,202009040857
5,300368,汇金股份,策略2,本块中有冲顶,2,cd,202009040857
7,300313,天山生物,策略2,本块中有冲顶,4,cd,202009040857
8,300116,坚瑞沃能,策略2,本块中有冲顶,2,cd,202009040857
11,300269,联建光电,策略2,本块中有冲顶,1,cd,202009040857
13,300152,科融环境,策略2,本块中有冲顶,1,cd,202009040857
15,300064,豫金刚石,策略2,本块中有冲顶,1,cd,202009040857
17,300801,泰和科技,策略2,本块中有冲顶,1,cd,202009040857
21,300386,飞天诚信,策略2,本块中有冲顶,1,cd,202009040857
24,300240,飞力达,策略2,本块中有冲顶,1,cd,202009040857
26,300185,通裕重工,策略2,本块中有冲顶,2,cd,202009040857
28,300051,三五互联,策略2,本块中有冲顶,1,cd,202009040857
30,300343,联创股份,策略2,本块中有冲顶,2,cd,202009040857
34,300798,锦鸡股份,策略2,本块中有冲顶,1,cd,202009040857
42,300791,仙乐健康,策略2,本块中有冲顶,2,cd,202009040857
44,300588,熙菱信息,策略2,本块中有冲顶,1,cd,202009040857
46,600823,世茂股份,策略2,本块中有冲顶,3,cd,202009040857
48,002537,海联金汇,策略2,本块中有冲顶,1,cd,202009040857
50,600321,正源股份,策略2,本块中有冲顶,3,cd,202009040857
52,600189,吉林森工,策略2,本块中有冲顶,1,cd,202009040857
54,603683,晶华新材,策略2,本块中有冲顶,1,cd,202009040857
56,603161,科华控股,策略2,本块中有冲顶,3,cd,202009040857
60,600976,健民集团,策略2,本块中有冲顶,2,cd,202009040857
63,300654,世纪天鸿,策略2,本块中有冲顶,1,cd,202009040857
66,000881,中广核技,策略2,本块中有冲顶,1,cd,202009040857
67,603826,坤彩科技,策略2,本块中有冲顶,1,cd,202009040857
69,603595,东尼电子,策略2,本块中有冲顶,1,cd,202009040857
71,000755,山西路桥,策略2,本块中有冲顶,2,cd,202009040857
73,603787,新日股份,策略2,本块中有冲顶,1,cd,202009040857
75,600158,中体产业,策略2,本块中有冲顶,2,cd,202009040857
76,002534,杭锅股份,策略2,本块中有冲顶,1,cd,202009040857
78,603848,好太太,策略2,本块中有冲顶,1,cd,202009040857
80,000897,津滨发展,策略2,本块中有冲顶,3,cd,202009040857
82,002429,兆驰股份,策略2,本块中有冲顶,1,cd,202009040857
84,002327,富安娜,策略2,本块中有冲顶,2,cd,202009040857
85,300317,珈伟新能,策略2,本块中有冲顶,2,cd,202009040857
87,300178,腾邦国际,策略2,本块中有冲顶,2,cd,202009040857
88,300280,紫天科技,策略2,本块中有冲顶,1,cd,202009040857
90,300108,吉药控股,策略2,本块中有冲顶,1,cd,202009040857
91,300237,美晨生态,策略2,本块中有冲顶,3,cd,202009040857
93,300076,GQY视讯,策略2,本块中有冲顶,2,cd,202009040857
97,300459,金科文化,策略2,本块中有冲顶,1,cd,202009040857
100,300266,兴源环境,策略2,本块中有冲顶,1,cd,202009040857
102,002862,实丰文化,策略2,本块中有冲顶,1,cd,202009040857
105,603167,渤海轮渡,策略2,本块中有冲顶,3,cd,202009040857
107,603728,鸣志电器,策略2,本块中有冲顶,2,cd,202009040857
108,300111,向日葵,策略2,本块中有冲顶,2,cd,202009040857
111,000568,泸州老窖,策略2,本块中有冲顶,2,cd,202009040857
113,002858,力盛赛车,策略2,本块中有冲顶,1,cd,202009040857
115,300210,森远股份,策略2,本块中有冲顶,2,cd,202009040857
120,002722,金轮股份,策略2,本块中有冲顶,1,cd,202009040857
121,002861,瀛通通讯,策略2,本块中有冲顶,1,cd,202009040857
127,300561,汇金科技,策略2,本块中有冲顶,1,cd,202009040857
128,300193,佳士科技,策略2,本块中有冲顶,1,cd,202009040857
131,300471,厚普股份,策略2,本块中有冲顶,1,cd,202009040857
135,300091,金通灵,策略2,本块中有冲顶,2,cd,202009040857
137,300153,科泰电源,策略2,本块中有冲顶,2,cd,202009040857
138,300541,先进数通,策略2,本块中有冲顶,1,cd,202009040857
143,002198,嘉应制药,策略2,本块中有冲顶,3,cd,202009040857
144,002213,特 尔 佳,策略2,本块中有冲顶,1,cd,202009040857
145,300278,华昌达,策略2,本块中有冲顶,3,cd,202009040857
148,000785,居然之家,策略2,本块中有冲顶,1,cd,202009040857
150,603268,松发股份,策略2,本块中有冲顶,3,cd,202009040857
156,603655,朗博科技,策略2,本块中有冲顶,2,cd,202009040857
159,002312,三泰控股,策略2,本块中有冲顶,1,cd,202009040857
