,code,name,cl,clname,gxsj
0,600313,农发种业,1,策略4----高于50(向上趋势中) d50,202007112220
5,600366,宁波韵升,1,策略4----高于50(向上趋势中) d50,202007112220
7,002706,良信电器,1,策略4----高于50(向上趋势中) d50,202007112220
9,002227,奥 特 迅,1,策略4----高于50(向上趋势中) d50,202007112220
11,603997,继峰股份,1,策略4----高于50(向上趋势中) d50,202007112220
14,600685,中船防务,1,策略4----高于50(向上趋势中) d50,202007112220
18,000505,京粮控股,1,策略4----高于50(向上趋势中) d50,202007112220
21,600107,美尔雅,1,策略4----高于50(向上趋势中) d50,202007112220
24,002852,道道全,1,策略4----高于50(向上趋势中) d50,202007112220
29,600855,航天长峰,1,策略4----高于50(向上趋势中) d50,202007112220
36,603555,贵人鸟,1,策略4----高于50(向上趋势中) d50,202007112220
40,000987,越秀金控,1,策略4----高于50(向上趋势中) d50,202007112220
42,600127,金健米业,1,策略4----高于50(向上趋势中) d50,202007112220
44,600191,华资实业,1,策略4----高于50(向上趋势中) d50,202007112220
47,300116,坚瑞沃能,1,策略4----高于50(向上趋势中) d50,202007112220
49,600410,华胜天成,1,策略4----高于50(向上趋势中) d50,202007112220
51,300661,圣邦股份,1,策略4----高于50(向上趋势中) d50,202007112220
55,600540,新赛股份,1,策略4----高于50(向上趋势中) d50,202007112220
61,002560,通达股份,1,策略4----高于50(向上趋势中) d50,202007112220
63,300234,开尔新材,1,策略4----高于50(向上趋势中) d50,202007112220
65,300030,阳普医疗,1,策略4----高于50(向上趋势中) d50,202007112220
70,300087,荃银高科,1,策略4----高于50(向上趋势中) d50,202007112220
72,002041,登海种业,1,策略4----高于50(向上趋势中) d50,202007112220
74,002458,益生股份,1,策略4----高于50(向上趋势中) d50,202007112220
77,002929,润建股份,1,策略4----高于50(向上趋势中) d50,202007112220
78,600719,大连热电,1,策略4----高于50(向上趋势中) d50,202007112220
80,300644,南京聚隆,1,策略4----高于50(向上趋势中) d50,202007112220
83,600975,新五丰,1,策略4----高于50(向上趋势中) d50,202007112220
86,600072,中船科技,1,策略4----高于50(向上趋势中) d50,202007112220
87,300401,花园生物,1,策略4----高于50(向上趋势中) d50,202007112220
90,000019,深粮控股,1,策略4----高于50(向上趋势中) d50,202007112220
92,000713,丰乐种业,1,策略4----高于50(向上趋势中) d50,202007112220
95,000652,泰达股份,1,策略4----高于50(向上趋势中) d50,202007112220
98,603501,韦尔股份,1,策略4----高于50(向上趋势中) d50,202007112220
100,600095,哈高科,1,策略4----高于50(向上趋势中) d50,202007112220
103,300702,天宇股份,1,策略4----高于50(向上趋势中) d50,202007112220
109,600495,晋西车轴,1,策略4----高于50(向上趋势中) d50,202007112220
115,000531,穗恒运Ａ,1,策略4----高于50(向上趋势中) d50,202007112220
117,002588,史丹利,1,策略4----高于50(向上趋势中) d50,202007112220
119,603579,荣泰健康,1,策略4----高于50(向上趋势中) d50,202007112220
124,002832,比音勒芬,1,策略4----高于50(向上趋势中) d50,202007112220
125,300658,延江股份,1,策略4----高于50(向上趋势中) d50,202007112220
127,002539,云图控股,1,策略4----高于50(向上趋势中) d50,202007112220
134,600038,中直股份,1,策略4----高于50(向上趋势中) d50,202007112220
136,300560,中富通,1,策略4----高于50(向上趋势中) d50,202007112220
139,300314,戴维医疗,1,策略4----高于50(向上趋势中) d50,202007112220
141,600621,华鑫股份,1,策略4----高于50(向上趋势中) d50,202007112220
143,603616,韩建河山,1,策略4----高于50(向上趋势中) d50,202007112220
146,002001,新 和 成,1,策略4----高于50(向上趋势中) d50,202007112220
148,000544,中原环保,1,策略4----高于50(向上趋势中) d50,202007112220
151,601607,上海医药,1,策略4----高于50(向上趋势中) d50,202007112220
153,601890,亚星锚链,1,策略4----高于50(向上趋势中) d50,202007112220
155,000779,甘咨询,1,策略4----高于50(向上趋势中) d50,202007112220
159,601952,苏垦农发,1,策略4----高于50(向上趋势中) d50,202007112220
161,601872,招商轮船,1,策略4----高于50(向上趋势中) d50,202007112220
163,300224,正海磁材,1,策略4----高于50(向上趋势中) d50,202007112220
167,603918,金桥信息,1,策略4----高于50(向上趋势中) d50,202007112220
170,600026,中远海能,1,策略4----高于50(向上趋势中) d50,202007112220
172,000998,隆平高科,1,策略4----高于50(向上趋势中) d50,202007112220
174,300289,利德曼,1,策略4----高于50(向上趋势中) d50,202007112220
177,600283,钱江水利,1,策略4----高于50(向上趋势中) d50,202007112220
180,000912,泸天化,1,策略4----高于50(向上趋势中) d50,202007112220
184,603843,正平股份,1,策略4----高于50(向上趋势中) d50,202007112220
