,code,ktype,gxrq,gxsj
0,002768,m,2020-03-29,0239
1,002845,m,2020-03-29,0239
2,600894,m,2020-03-29,0239
3,300029,m,2020-03-29,0239
4,603608,m,2020-03-29,0239
5,603679,m,2020-03-29,0239
6,002375,m,2020-03-29,0239
7,600068,m,2020-03-29,0239
8,600825,m,2020-03-29,0239
9,002568,m,2020-03-29,0239
10,601179,m,2020-03-29,0239
11,300702,m,2020-03-29,0239
12,600116,m,2020-03-29,0239
13,300540,m,2020-03-29,0239
14,600526,m,2020-03-29,0239
15,600421,m,2020-03-29,0239
16,603638,m,2020-03-29,0239
17,300636,m,2020-03-29,0239
18,002154,m,2020-03-29,0239
19,600724,m,2020-03-29,0239
20,600797,m,2020-03-29,0239
21,600857,m,2020-03-29,0239
22,600449,m,2020-03-29,0239
23,603599,m,2020-03-29,0239
24,603500,m,2020-03-29,0239
25,300126,m,2020-03-29,0239
26,000661,m,2020-03-29,0239
27,002798,m,2020-03-29,0239
28,002163,m,2020-03-29,0239
29,600836,m,2020-03-29,0239
30,002688,m,2020-03-29,0239
31,002127,m,2020-03-29,0239
32,002532,m,2020-03-29,0239
33,600026,m,2020-03-29,0239
34,600801,m,2020-03-29,0239
35,603090,m,2020-03-29,0239
36,000501,m,2020-03-29,0239
37,000739,m,2020-03-29,0239
38,300281,m,2020-03-29,0239
39,603123,m,2020-03-29,0239
40,000708,m,2020-03-29,0239
41,300142,m,2020-03-29,0239
42,603288,m,2020-03-29,0239
43,600823,m,2020-03-29,0239
44,600585,m,2020-03-29,0239
45,300715,m,2020-03-29,0239
46,600155,m,2020-03-29,0239
47,300543,m,2020-03-29,0239
48,600031,m,2020-03-29,0239
49,002043,m,2020-03-29,0239
50,002905,m,2020-03-29,0239
51,002332,m,2020-03-29,0239
52,600268,m,2020-03-29,0239
53,300630,m,2020-03-29,0239
54,002251,m,2020-03-29,0239
55,300234,m,2020-03-29,0239
56,603385,m,2020-03-29,0239
57,603028,m,2020-03-29,0239
58,601990,m,2020-03-29,0239
59,600720,m,2020-03-29,0239
60,600491,m,2020-03-29,0239
61,000951,m,2020-03-29,0239
62,300405,m,2020-03-29,0239
63,601965,m,2020-03-29,0239
64,000425,m,2020-03-29,0239
65,002560,m,2020-03-29,0239
66,000990,m,2020-03-29,0239
67,300586,m,2020-03-29,0239
68,300218,m,2020-03-29,0239
69,603041,m,2020-03-29,0239
70,002233,m,2020-03-29,0239
71,600769,m,2020-03-29,0239
72,600809,m,2020-03-29,0239
73,601789,m,2020-03-29,0239
74,002637,m,2020-03-29,0239
75,002534,m,2020-03-29,0239
76,000600,m,2020-03-29,0239
77,002165,m,2020-03-29,0239
78,603916,m,2020-03-29,0239
79,600461,m,2020-03-29,0239
80,600538,m,2020-03-29,0239
81,600246,m,2020-03-29,0239
82,600020,m,2020-03-29,0239
83,000877,m,2020-03-29,0239
84,600963,m,2020-03-29,0239
85,600863,m,2020-03-29,0239
86,600696,m,2020-03-29,0239
87,002541,m,2020-03-29,0239
88,300539,m,2020-03-29,0239
89,601199,m,2020-03-29,0239
90,600802,m,2020-03-29,0239
91,002014,m,2020-03-29,0239
92,300737,m,2020-03-29,0239
93,603882,m,2020-03-29,0239
94,300021,m,2020-03-29,0239
95,000715,m,2020-03-29,0239
96,300215,m,2020-03-29,0239
97,002116,m,2020-03-29,0239
98,000672,m,2020-03-29,0239
99,603557,m,2020-03-29,0239
100,600730,m,2020-03-29,0239
101,601968,m,2020-03-29,0239
102,002420,m,2020-03-29,0239
103,300214,m,2020-03-29,0239
104,600593,m,2020-03-29,0239
105,600519,m,2020-03-29,0239
106,300179,m,2020-03-29,0239
107,603233,m,2020-03-29,0239
108,002244,m,2020-03-29,0239
109,600375,m,2020-03-29,0239
110,000656,m,2020-03-29,0239
111,002846,m,2020-03-29,0239
112,000400,m,2020-03-29,0239
113,600167,m,2020-03-29,0239
114,603331,m,2020-03-29,0239
115,300360,m,2020-03-29,0239
116,600979,m,2020-03-29,0239
117,600483,m,2020-03-29,0239
118,600668,m,2020-03-29,0239
119,601218,m,2020-03-29,0239
120,603699,m,2020-03-29,0239
121,002909,m,2020-03-29,0239
122,600452,m,2020-03-29,0239
123,000598,m,2020-03-29,0239
124,000159,m,2020-03-29,0239
125,603712,m,2020-03-29,0239
126,002498,m,2020-03-29,0239
127,600234,m,2020-03-29,0239
128,300553,m,2020-03-29,0239
129,002398,m,2020-03-29,0239
130,601878,m,2020-03-29,0239
131,601929,m,2020-03-29,0239
132,000686,m,2020-03-29,0239
133,603002,m,2020-03-29,0239
134,600235,m,2020-03-29,0239
135,600505,m,2020-03-29,0239
136,600095,m,2020-03-29,0239
137,000922,m,2020-03-29,0239
138,001696,m,2020-03-29,0239
139,600882,m,2020-03-29,0239
140,601717,m,2020-03-29,0239
141,601616,m,2020-03-29,0239
142,600061,m,2020-03-29,0239
143,000677,m,2020-03-29,0239
144,600864,m,2020-03-29,0239
145,600621,m,2020-03-29,0239
146,601139,m,2020-03-29,0239
147,300093,m,2020-03-29,0239
148,603227,m,2020-03-29,0239
149,002734,m,2020-03-29,0239
150,601375,m,2020-03-29,0239
151,300621,m,2020-03-29,0239
152,600038,m,2020-03-29,0239
153,002084,m,2020-03-29,0239
154,601872,m,2020-03-29,0239
155,600284,m,2020-03-29,0239
156,002140,m,2020-03-29,0239
157,300213,m,2020-03-29,0239
158,000519,m,2020-03-29,0239
159,002296,m,2020-03-29,0239
160,600846,m,2020-03-29,0239
161,000728,m,2020-03-29,0239
162,603966,m,2020-03-29,0239
163,002816,m,2020-03-29,0239
164,603300,m,2020-03-29,0239
165,600872,m,2020-03-29,0239
166,600871,m,2020-03-29,0239
167,600868,m,2020-03-29,0239
168,600654,m,2020-03-29,0239
169,600425,m,2020-03-29,0239
170,600406,m,2020-03-29,0239
171,600395,m,2020-03-29,0239
172,600370,m,2020-03-29,0239
173,600173,m,2020-03-29,0239
174,600006,m,2020-03-29,0239
175,300295,m,2020-03-29,0239
176,300185,m,2020-03-29,0239
177,002740,m,2020-03-29,0239
178,002627,m,2020-03-29,0239
179,000885,m,2020-03-29,0239
180,000783,m,2020-03-29,0239
181,000058,m,2020-03-29,0239
182,000010,m,2020-03-29,0239
183,000007,m,2020-03-29,0239
184,603883,m,2020-03-29,0239
185,603711,m,2020-03-29,0239
186,603721,m,2020-03-29,0239
187,600216,m,2020-03-29,0239
188,300138,m,2020-03-29,0239
189,603517,m,2020-03-29,0239
190,000529,m,2020-03-29,0239
191,600305,m,2020-03-29,0239
192,000601,m,2020-03-29,0239
193,000096,m,2020-03-29,0239
194,002634,m,2020-03-29,0239
195,600674,m,2020-03-29,0239
196,002078,m,2020-03-29,0239
197,300129,m,2020-03-29,0239
198,600875,m,2020-03-29,0239
199,600352,m,2020-03-29,0239
200,600456,m,2020-03-29,0239
201,600130,m,2020-03-29,0239
202,300536,m,2020-03-29,0239
203,600783,m,2020-03-29,0239
204,002732,m,2020-03-29,0239
205,600523,m,2020-03-29,0239
206,002440,m,2020-03-29,0239
207,002695,m,2020-03-29,0239
208,002760,m,2020-03-29,0239
209,603519,m,2020-03-29,0239
210,600873,m,2020-03-29,0239
211,000532,m,2020-03-29,0239
212,300376,m,2020-03-29,0239
213,603607,m,2020-03-29,0239
214,002879,m,2020-03-29,0239
215,002746,m,2020-03-29,0239
216,000768,m,2020-03-29,0239
217,600794,m,2020-03-29,0239
218,002528,m,2020-03-29,0239
219,603477,m,2020-03-29,0239
220,601010,m,2020-03-29,0239
221,002487,m,2020-03-29,0239
222,600390,m,2020-03-29,0239
223,600475,m,2020-03-29,0239
224,002139,m,2020-03-29,0239
225,300650,m,2020-03-29,0239
226,000707,m,2020-03-29,0239
227,300399,m,2020-03-29,0239
228,603556,m,2020-03-29,0239
229,002743,m,2020-03-29,0239
230,300525,m,2020-03-29,0239
231,300354,m,2020-03-29,0239
232,002492,m,2020-03-29,0239
233,000917,m,2020-03-29,0239
234,002673,m,2020-03-29,0239
235,300440,m,2020-03-29,0239
236,002606,m,2020-03-29,0239
237,000720,m,2020-03-29,0239
238,600323,m,2020-03-29,0239
239,600821,m,2020-03-29,0239
240,603788,m,2020-03-29,0239
241,600603,m,2020-03-29,0239
242,603100,m,2020-03-29,0239
243,300678,m,2020-03-29,0239
244,603703,m,2020-03-29,0239
245,300441,m,2020-03-29,0239
246,300190,m,2020-03-29,0239
247,601208,m,2020-03-29,0239
248,600151,m,2020-03-29,0239
249,002522,m,2020-03-29,0239
250,000422,m,2020-03-29,0239
251,300099,m,2020-03-29,0239
252,002162,m,2020-03-29,0239
253,002303,m,2020-03-29,0239
254,603239,m,2020-03-29,0239
255,002149,m,2020-03-29,0239
256,300286,m,2020-03-29,0239
257,002526,m,2020-03-29,0239
258,600517,m,2020-03-29,0239
259,600775,m,2020-03-29,0239
260,000735,m,2020-03-29,0239
261,300140,m,2020-03-29,0239
262,002329,m,2020-03-29,0239
263,603803,m,2020-03-29,0239
264,300388,m,2020-03-29,0239
265,600571,m,2020-03-29,0239
266,603879,m,2020-03-29,0239
267,000070,m,2020-03-29,0239
268,002338,m,2020-03-29,0239
269,603655,m,2020-03-29,0239
270,600252,m,2020-03-29,0239
271,000988,m,2020-03-29,0239
272,300330,m,2020-03-29,0239
273,300007,m,2020-03-29,0239
274,600096,m,2020-03-29,0239
275,000721,m,2020-03-29,0239
276,600966,m,2020-03-29,0239
277,603110,m,2020-03-29,0239
278,002724,m,2020-03-29,0239
279,603356,m,2020-03-29,0239
280,002213,m,2020-03-29,0239
281,300452,m,2020-03-29,0239
282,002268,m,2020-03-29,0239
283,002860,m,2020-03-29,0239
284,600736,m,2020-03-29,0239
285,600298,m,2020-03-29,0239
286,300563,m,2020-03-29,0239
287,002548,m,2020-03-29,0239
288,300609,m,2020-03-29,0239
289,300233,m,2020-03-29,0239
290,603316,m,2020-03-29,0239
291,601515,m,2020-03-29,0239
292,300669,m,2020-03-29,0239
293,300239,m,2020-03-29,0239
294,000927,m,2020-03-29,0239
295,000403,m,2020-03-29,0239
296,002679,m,2020-03-29,0239
297,000738,m,2020-03-29,0239
298,000815,m,2020-03-29,0239
299,600515,m,2020-03-29,0239
300,603823,m,2020-03-29,0239
301,600678,m,2020-03-29,0239
302,300333,m,2020-03-29,0239
303,002476,m,2020-03-29,0239
304,002848,m,2020-03-29,0239
305,002311,m,2020-03-29,0239
306,000682,m,2020-03-29,0239
307,600975,m,2020-03-29,0239
308,603606,m,2020-03-29,0239
309,000811,m,2020-03-29,0239
310,300003,m,2020-03-29,0239
311,002676,m,2020-03-29,0239
312,600078,m,2020-03-29,0239
313,600710,m,2020-03-29,0239
314,300175,m,2020-03-29,0239
315,002546,m,2020-03-29,0239
316,002565,m,2020-03-29,0239
317,002197,m,2020-03-29,0239
318,603987,m,2020-03-29,0239
319,000037,m,2020-03-29,0239
320,002616,m,2020-03-29,0239
321,300407,m,2020-03-29,0239
322,000688,m,2020-03-29,0239
323,603421,m,2020-03-29,0239
324,600211,m,2020-03-29,0239
325,300112,m,2020-03-29,0239
326,300022,m,2020-03-29,0239
327,300105,m,2020-03-29,0239
328,002367,m,2020-03-29,0239
329,300615,m,2020-03-29,0239
330,300120,m,2020-03-29,0239
331,600405,m,2020-03-29,0239
332,300664,m,2020-03-29,0239
333,000520,m,2020-03-29,0239
334,002331,m,2020-03-29,0239
335,002489,m,2020-03-29,0239
336,002547,m,2020-03-29,0239
337,600728,m,2020-03-29,0239
338,300292,m,2020-03-29,0239
339,000796,m,2020-03-29,0239
340,603380,m,2020-03-29,0239
341,300573,m,2020-03-29,0239
342,002533,m,2020-03-29,0239
343,002281,m,2020-03-29,0239
344,300167,m,2020-03-29,0239
345,603363,m,2020-03-29,0239
346,600645,m,2020-03-29,0239
347,000710,m,2020-03-29,0239
348,002862,m,2020-03-29,0239
349,002385,m,2020-03-29,0239
350,300249,m,2020-03-29,0239
351,600540,m,2020-03-29,0239
352,300063,m,2020-03-29,0239
353,300062,m,2020-03-29,0239
354,300209,m,2020-03-29,0239
355,002041,m,2020-03-29,0239
356,600371,m,2020-03-29,0239
357,600345,m,2020-03-29,0239
358,300680,m,2020-03-29,0239
359,600108,m,2020-03-29,0239
360,000610,m,2020-03-29,0239
361,002660,m,2020-03-29,0239
362,000713,m,2020-03-29,0239
363,603016,m,2020-03-29,0239
364,000716,m,2020-03-29,0239
365,002093,m,2020-03-29,0239
366,002593,m,2020-03-29,0239
367,601700,m,2020-03-29,0239
368,300698,m,2020-03-29,0239
369,603577,m,2020-03-29,0239
370,002320,m,2020-03-29,0239
371,300366,m,2020-03-29,0239
372,600589,m,2020-03-29,0239
373,600196,m,2020-03-29,0239
374,600353,m,2020-03-29,0239
375,002157,m,2020-03-29,0239
376,300260,m,2020-03-29,0239
377,000875,m,2020-03-29,0239
378,603050,m,2020-03-29,0239
379,000948,m,2020-03-29,0239
380,603559,m,2020-03-29,0239
381,300443,m,2020-03-29,0239
382,603855,m,2020-03-29,0239
383,600522,m,2020-03-29,0239
384,002100,m,2020-03-29,0239
385,300134,m,2020-03-29,0239
386,600195,m,2020-03-29,0239
387,600289,m,2020-03-29,0239
388,002873,m,2020-03-29,0239
389,002897,m,2020-03-29,0239
390,600399,m,2020-03-29,0239
391,603600,m,2020-03-29,0239
392,002063,m,2020-03-29,0239
393,603566,m,2020-03-29,0239
394,002364,m,2020-03-29,0239
395,603042,m,2020-03-29,0239
396,600313,m,2020-03-29,0239
397,300265,m,2020-03-29,0239
398,300697,m,2020-03-29,0239
399,600410,m,2020-03-29,0239
400,002339,m,2020-03-29,0239
401,300189,m,2020-03-29,0239
402,000909,m,2020-03-29,0239
403,002227,m,2020-03-29,0239
404,600359,m,2020-03-29,0239
405,600560,m,2020-03-29,0239
406,300293,m,2020-03-29,0239
407,300141,m,2020-03-29,0239
