,code,name,cl,cljg,qz,files,gxsj
0,300106,西部牧业,策略2,本块中有冲顶,4,cd,202009040857
1,300106,西部牧业,策略6,ai样本买点,3,aiyb3,202009040857
2,300446,乐凯新材,策略6,ai样本买点,3,aiyb3,202009040857
3,300176,派生科技,策略2,本块中有冲顶,2,cd,202009040857
4,300176,派生科技,策略6,ai样本买点,1,aiyb1,202009040857
5,300368,汇金股份,策略2,本块中有冲顶,2,cd,202009040857
6,300368,汇金股份,策略6,ai样本买点,1,aiyb1,202009040857
7,300313,天山生物,策略2,本块中有冲顶,4,cd,202009040857
8,300116,坚瑞沃能,策略2,本块中有冲顶,2,cd,202009040857
9,300116,坚瑞沃能,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,2,bs2,202009040857
10,300116,坚瑞沃能,策略6,ai样本买点,1,aiyb1,202009040857
11,300269,联建光电,策略2,本块中有冲顶,1,cd,202009040857
12,300269,联建光电,策略4,cci&dmi趋同折点为买卖点 买点在 2020-08-31 3 天前,3,bs3,202009040857
13,300152,科融环境,策略2,本块中有冲顶,1,cd,202009040857
14,300152,科融环境,策略6,ai样本买点,3,aiyb3,202009040857
15,300064,豫金刚石,策略2,本块中有冲顶,1,cd,202009040857
16,300064,豫金刚石,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,2,bs2,202009040857
17,300801,泰和科技,策略2,本块中有冲顶,1,cd,202009040857
18,300801,泰和科技,策略6,ai样本买点,1,aiyb1,202009040857
19,300261,雅本化学,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,2,bs2,202009040857
20,300135,宝利国际,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,2,bs2,202009040857
21,300386,飞天诚信,策略2,本块中有冲顶,1,cd,202009040857
22,300386,飞天诚信,策略6,ai样本买点,1,aiyb1,202009040857
23,300131,英唐智控,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
24,300240,飞力达,策略2,本块中有冲顶,1,cd,202009040857
25,300240,飞力达,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,2,bs2,202009040857
26,300185,通裕重工,策略2,本块中有冲顶,2,cd,202009040857
27,300185,通裕重工,策略6,ai样本买点,1,aiyb1,202009040857
28,300051,三五互联,策略2,本块中有冲顶,1,cd,202009040857
29,300051,三五互联,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,2,bs2,202009040857
30,300343,联创股份,策略2,本块中有冲顶,2,cd,202009040857
