,code,name,cl,cljg,qz,files,gxsj
0,600868,梅雁吉祥,策略1,处于弱势区域,1,rs,202008200133
7,600310,桂东电力,策略1,处于弱势区域,1,rs,202008200133
9,600678,四川金顶,策略1,处于弱势区域,1,rs,202008200133
21,600283,钱江水利,策略1,处于弱势区域,1,rs,202008200133
23,603535,嘉诚国际,策略1,处于弱势区域,1,rs,202008200133
33,002457,青龙管业,策略1,处于弱势区域,1,rs,202008200133
35,603811,诚意药业,策略1,处于弱势区域,1,rs,202008200133
37,000869,张 裕Ａ,策略1,处于弱势区域,1,rs,202008200133
55,603166,福达股份,策略1,处于弱势区域,1,rs,202008200133
62,600726,华电能源,策略1,处于弱势区域,1,rs,202008200133
86,002532,新界泵业,策略1,处于弱势区域,1,rs,202008200133
91,603919,金徽酒,策略1,处于弱势区域,1,rs,202008200133
93,000895,双汇发展,策略1,处于弱势区域,1,rs,202008200133
99,002833,弘亚数控,策略1,处于弱势区域,1,rs,202008200133
106,300593,新雷能,策略1,处于弱势区域,1,rs,202008200133
108,603757,大元泵业,策略1,处于弱势区域,1,rs,202008200133
116,600075,新疆天业,策略1,处于弱势区域,1,rs,202008200133
123,600505,西昌电力,策略1,处于弱势区域,1,rs,202008200133
127,603685,晨丰科技,策略1,处于弱势区域,1,rs,202008200133
128,603129,春风动力,策略1,处于弱势区域,1,rs,202008200133
136,603536,惠发食品,策略1,处于弱势区域,1,rs,202008200133
138,603203,快克股份,策略1,处于弱势区域,1,rs,202008200133
147,603520,司太立,策略1,处于弱势区域,1,rs,202008200133
150,300697,电工合金,策略1,处于弱势区域,1,rs,202008200133
155,603429,集友股份,策略1,处于弱势区域,1,rs,202008200133
160,600216,浙江医药,策略1,处于弱势区域,1,rs,202008200133
172,300342,天银机电,策略1,处于弱势区域,1,rs,202008200133
188,002060,粤 水 电,策略1,处于弱势区域,1,rs,202008200133
206,603198,迎驾贡酒,策略1,处于弱势区域,1,rs,202008200133
220,603882,金域医学,策略1,处于弱势区域,1,rs,202008200133
224,300752,隆利科技,策略1,处于弱势区域,1,rs,202008200133
229,300334,津膜科技,策略1,处于弱势区域,1,rs,202008200133
232,600203,福日电子,策略1,处于弱势区域,1,rs,202008200133
239,002810,山东赫达,策略1,处于弱势区域,1,rs,202008200133
241,002352,顺丰控股,策略1,处于弱势区域,1,rs,202008200133
242,000739,普洛药业,策略1,处于弱势区域,1,rs,202008200133
244,002661,克明面业,策略1,处于弱势区域,1,rs,202008200133
246,002558,巨人网络,策略1,处于弱势区域,1,rs,202008200133
247,300332,天壕环境,策略1,处于弱势区域,1,rs,202008200133
260,002291,星期六,策略1,处于弱势区域,1,rs,202008200133
269,600559,老白干酒,策略1,处于弱势区域,1,rs,202008200133
275,603716,塞力斯,策略1,处于弱势区域,1,rs,202008200133
278,002479,富春环保,策略1,处于弱势区域,1,rs,202008200133
287,002332,仙琚制药,策略1,处于弱势区域,1,rs,202008200133
292,603501,韦尔股份,策略1,处于弱势区域,1,rs,202008200133
324,600370,三房巷,策略1,处于弱势区域,1,rs,202008200133
326,600695,绿庭投资,策略1,处于弱势区域,1,rs,202008200133
335,600578,京能电力,策略1,处于弱势区域,1,rs,202008200133
338,603233,大参林,策略1,处于弱势区域,1,rs,202008200133
339,600068,葛洲坝,策略1,处于弱势区域,1,rs,202008200133
341,603617,君禾股份,策略1,处于弱势区域,1,rs,202008200133
344,603589,口子窖,策略1,处于弱势区域,1,rs,202008200133
348,002369,卓翼科技,策略1,处于弱势区域,1,rs,202008200133
351,600268,国电南自,策略1,处于弱势区域,1,rs,202008200133
353,002830,名雕股份,策略1,处于弱势区域,1,rs,202008200133
357,600929,湖南盐业,策略1,处于弱势区域,1,rs,202008200133
364,000938,紫光股份,策略1,处于弱势区域,1,rs,202008200133
