,code,name,cl,clname,gxsj
1,300278,华昌达,2,策略1-处于弱势区域 rs2,202007262355
4,300086,康芝药业,2,策略1-处于弱势区域 rs2,202007262355
15,000821,京山轻机,2,策略1-处于弱势区域 rs2,202007262355
22,603399,吉翔股份,2,策略1-处于弱势区域 rs2,202007262355
29,600371,万向德农,2,策略1-处于弱势区域 rs2,202007262355
41,603133,碳元科技,2,策略1-处于弱势区域 rs2,202007262355
51,002817,黄山胶囊,2,策略1-处于弱势区域 rs2,202007262355
52,300225,金力泰,2,策略1-处于弱势区域 rs2,202007262355
68,600547,山东黄金,2,策略1-处于弱势区域 rs2,202007262355
69,300002,神州泰岳,2,策略1-处于弱势区域 rs2,202007262355
74,603178,圣龙股份,2,策略1-处于弱势区域 rs2,202007262355
75,600861,北京城乡,2,策略1-处于弱势区域 rs2,202007262355
78,600418,江淮汽车,2,策略1-处于弱势区域 rs2,202007262355
84,000893,东凌国际,2,策略1-处于弱势区域 rs2,202007262355
87,300404,博济医药,2,策略1-处于弱势区域 rs2,202007262355
89,600460,士兰微,2,策略1-处于弱势区域 rs2,202007262355
94,000813,德展健康,2,策略1-处于弱势区域 rs2,202007262355
108,600917,重庆燃气,2,策略1-处于弱势区域 rs2,202007262355
113,600798,宁波海运,2,策略1-处于弱势区域 rs2,202007262355
116,600452,涪陵电力,2,策略1-处于弱势区域 rs2,202007262355
121,601225,陕西煤业,2,策略1-处于弱势区域 rs2,202007262355
124,300410,正业科技,2,策略1-处于弱势区域 rs2,202007262355
128,000836,富通鑫茂,2,策略1-处于弱势区域 rs2,202007262355
130,002731,萃华珠宝,2,策略1-处于弱势区域 rs2,202007262355
131,002781,奇信股份,2,策略1-处于弱势区域 rs2,202007262355
155,002321,华英农业,2,策略1-处于弱势区域 rs2,202007262355
165,601107,四川成渝,2,策略1-处于弱势区域 rs2,202007262355
168,600189,吉林森工,2,策略1-处于弱势区域 rs2,202007262355
172,300488,恒锋工具,2,策略1-处于弱势区域 rs2,202007262355
173,300313,天山生物,2,策略1-处于弱势区域 rs2,202007262355
