,code,name
0,603555,月线Macd红柱
1,300506,月线Macd红柱
2,300150,月线Macd红柱
3,002571,月线Macd红柱
4,002193,月线Macd红柱
5,000887,月线Macd红柱
6,603157,月线Macd红柱
7,603843,月线Macd红柱
8,002612,月线Macd红柱
9,600814,月线Macd红柱
10,600191,月线Macd红柱
11,300591,月线Macd红柱
12,002768,月线Macd红柱
13,603520,月线Macd红柱
14,603001,月线Macd红柱
15,600628,月线Macd红柱
16,300497,月线Macd红柱
17,600521,月线Macd红柱
18,002845,月线Macd红柱
19,300608,月线Macd红柱
20,600894,月线Macd红柱
21,300307,月线Macd红柱
22,600107,月线Macd红柱
23,300029,月线Macd红柱
24,300273,月线Macd红柱
25,603608,月线Macd红柱
26,000976,月线Macd红柱
27,600983,月线Macd红柱
28,002494,月线Macd红柱
29,002480,月线Macd红柱
30,002094,月线Macd红柱
31,002269,月线Macd红柱
32,002060,月线Macd红柱
33,002779,月线Macd红柱
34,000779,月线Macd红柱
35,300658,月线Macd红柱
36,300121,月线Macd红柱
37,300607,月线Macd红柱
38,300106,月线Macd红柱
39,002822,月线Macd红柱
40,601500,月线Macd红柱
41,600502,月线Macd红柱
42,600855,月线Macd红柱
43,000903,月线Macd红柱
44,300626,月线Macd红柱
45,600250,月线Macd红柱
46,002397,月线Macd红柱
47,002375,月线Macd红柱
48,002401,月线Macd红柱
49,300037,月线Macd红柱
50,600068,月线Macd红柱
51,603011,月线Macd红柱
52,600825,月线Macd红柱
53,000895,月线Macd红柱
54,300097,月线Macd红柱
55,300363,月线Macd红柱
56,002568,月线Macd红柱
57,603866,月线Macd红柱
58,002529,月线Macd红柱
59,600223,月线Macd红柱
60,600633,月线Macd红柱
61,000498,月线Macd红柱
62,600619,月线Macd红柱
63,002762,月线Macd红柱
64,600865,月线Macd红柱
65,601179,月线Macd红柱
66,300702,月线Macd红柱
67,603033,月线Macd红柱
68,300411,月线Macd红柱
69,002838,月线Macd红柱
70,300687,月线Macd红柱
71,600116,月线Macd红柱
72,300540,月线Macd红柱
73,002791,月线Macd红柱
74,002626,月线Macd红柱
75,603416,月线Macd红柱
76,002761,月线Macd红柱
77,600854,月线Macd红柱
78,000925,月线Macd红柱
79,300124,月线Macd红柱
80,600838,月线Macd红柱
81,000702,月线Macd红柱
82,603955,月线Macd红柱
83,000698,月线Macd红柱
84,002292,月线Macd红柱
85,600337,月线Macd红柱
86,002705,月线Macd红柱
87,603208,月线Macd红柱
88,002214,月线Macd红柱
89,603638,月线Macd红柱
90,000521,月线Macd红柱
91,603919,月线Macd红柱
92,600729,月线Macd红柱
93,600210,月线Macd红柱
94,002910,月线Macd红柱
95,300396,月线Macd红柱
96,300636,月线Macd红柱
97,002380,月线Macd红柱
98,000417,月线Macd红柱
99,002154,月线Macd红柱
100,002851,月线Macd红柱
101,603838,月线Macd红柱
102,002727,月线Macd红柱
103,600988,月线Macd红柱
104,600724,月线Macd红柱
105,300526,月线Macd红柱
106,300030,月线Macd红柱
107,603579,月线Macd红柱
108,603466,月线Macd红柱
109,002248,月线Macd红柱
110,603019,月线Macd红柱
111,603111,月线Macd红柱
112,300681,月线Macd红柱
113,000021,月线Macd红柱
114,601002,月线Macd红柱
115,600361,月线Macd红柱
116,002856,月线Macd红柱
117,300169,月线Macd红柱
118,002551,月线Macd红柱
119,600857,月线Macd红柱
120,600449,月线Macd红柱
121,600778,月线Macd红柱
122,300665,月线Macd红柱
123,000736,月线Macd红柱
124,603599,月线Macd红柱
125,603500,月线Macd红柱
126,603580,月线Macd红柱
127,000514,月线Macd红柱
128,002830,月线Macd红柱
129,300126,月线Macd红柱
130,300592,月线Macd红柱
131,002307,月线Macd红柱
132,300005,月线Macd红柱
133,601116,月线Macd红柱
134,002564,月线Macd红柱
135,300635,月线Macd红柱
136,000661,月线Macd红柱
137,002798,月线Macd红柱
138,002163,月线Macd红柱
139,603223,月线Macd红柱
140,600836,月线Macd红柱
141,002520,月线Macd红柱
142,600126,月线Macd红柱
143,600896,月线Macd红柱
144,600649,月线Macd红柱
145,600861,月线Macd红柱
146,300489,月线Macd红柱
147,300617,月线Macd红柱
148,000888,月线Macd红柱
149,603801,月线Macd红柱
150,300519,月线Macd红柱
151,601200,月线Macd红柱
152,002641,月线Macd红柱
153,000558,月线Macd红柱
154,300257,月线Macd红柱
155,002688,月线Macd红柱
156,603813,月线Macd红柱
157,000921,月线Macd红柱
158,002039,月线Macd红柱
159,603877,月线Macd红柱
160,002127,月线Macd红柱
161,300484,月线Macd红柱
162,000401,月线Macd红柱
163,603665,月线Macd红柱
164,002532,月线Macd红柱
165,002035,月线Macd红柱
166,600416,月线Macd红柱
167,603393,月线Macd红柱
168,000861,月线Macd红柱
169,300466,月线Macd红柱
170,600089,月线Macd红柱
171,000799,月线Macd红柱
172,600026,月线Macd红柱
173,600383,月线Macd红柱
174,603005,月线Macd红柱
175,000893,月线Macd红柱
176,600122,月线Macd红柱
177,603090,月线Macd红柱
178,002141,月线Macd红柱
179,603878,月线Macd红柱
180,000501,月线Macd红柱
181,002221,月线Macd红柱
182,603306,月线Macd红柱
183,002208,月线Macd红柱
184,002293,月线Macd红柱
185,000739,月线Macd红柱
186,600791,月线Macd红柱
187,000608,月线Macd红柱
188,300281,月线Macd红柱
189,603369,月线Macd红柱
190,002645,月线Macd红柱
