,code,name,cl,cljg,qz,files,gxsj
1,600257,大湖股份,策略3,主升浪一型,2,zs,202008051532
4,000790,华神科技,策略3,主升浪一型,1,zs,202008051532
7,300155,安居宝,策略3,主升浪一型,2,zs,202008051532
10,600295,鄂尔多斯,策略3,主升浪一型,1,zs,202008051532
12,600613,神奇制药,策略3,主升浪一型,2,zs,202008051532
15,600749,西藏旅游,策略3,主升浪一型,1,zs,202008051532
17,002613,北玻股份,策略3,主升浪一型,1,zs,202008051532
18,603608,天创时尚,策略3,主升浪一型,1,zs,202008051532
19,300323,华灿光电,策略3,主升浪一型,2,zs,202008051532
22,300536,农尚环境,策略3,主升浪一型,2,zs,202008051532
24,300358,楚天科技,策略3,主升浪一型,2,zs,202008051532
25,603598,引力传媒,策略3,主升浪一型,1,zs,202008051532
28,002827,高争民爆,策略3,主升浪一型,1,zs,202008051532
30,603987,康德莱,策略3,主升浪一型,1,zs,202008051532
33,002799,环球印务,策略3,主升浪一型,1,zs,202008051532
34,300221,银禧科技,策略3,主升浪一型,2,zs,202008051532
36,300119,瑞普生物,策略3,主升浪一型,2,zs,202008051532
39,002866,传艺科技,策略3,主升浪一型,1,zs,202008051532
41,002600,领益智造,策略3,主升浪一型,1,zs,202008051532
44,603906,龙蟠科技,策略3,主升浪一型,2,zs,202008051532
46,300006,莱美药业,策略3,主升浪一型,2,zs,202008051532
48,603630,拉芳家化,策略3,主升浪一型,2,zs,202008051532
51,601216,君正集团,策略3,主升浪一型,2,zs,202008051532
54,002826,易明医药,策略3,主升浪一型,2,zs,202008051532
57,002400,省广集团,策略3,主升浪一型,1,zs,202008051532
59,600336,澳柯玛,策略3,主升浪一型,1,zs,202008051532
61,300634,彩讯股份,策略3,主升浪一型,2,zs,202008051532
62,603718,海利生物,策略3,主升浪一型,2,zs,202008051532
65,300318,博晖创新,策略3,主升浪一型,2,zs,202008051532
67,601882,海天精工,策略3,主升浪一型,2,zs,202008051532
69,603283,赛腾股份,策略3,主升浪一型,1,zs,202008051532
70,002138,顺络电子,策略3,主升浪一型,1,zs,202008051532
73,600885,宏发股份,策略3,主升浪一型,1,zs,202008051532
75,300612,宣亚国际,策略3,主升浪一型,1,zs,202008051532
77,300587,天铁股份,策略3,主升浪一型,1,zs,202008051532
79,002541,鸿路钢构,策略3,主升浪一型,2,zs,202008051532
81,600095,哈高科,策略3,主升浪一型,2,zs,202008051532
84,603010,万盛股份,策略3,主升浪一型,1,zs,202008051532
86,300512,中亚股份,策略3,主升浪一型,1,zs,202008051532
88,002287,奇正藏药,策略3,主升浪一型,2,zs,202008051532
89,000501,鄂武商Ａ,策略3,主升浪一型,1,zs,202008051532
90,300136,信维通信,策略3,主升浪一型,1,zs,202008051532
92,600211,西藏药业,策略3,主升浪一型,1,zs,202008051532
95,002626,金达威,策略3,主升浪一型,2,zs,202008051532
98,002791,坚朗五金,策略3,主升浪一型,2,zs,202008051532
100,600490,鹏欣资源,策略3,主升浪一型,2,zs,202008051532
103,601020,华钰矿业,策略3,主升浪一型,2,zs,202008051532
105,603069,海汽集团,策略3,主升浪一型,2,zs,202008051532
108,603722,阿科力,策略3,主升浪一型,2,zs,202008051532
111,603887,城地股份,策略3,主升浪一型,1,zs,202008051532
113,300551,古鳌科技,策略3,主升浪一型,2,zs,202008051532
116,300378,鼎捷软件,策略3,主升浪一型,2,zs,202008051532
118,300366,创意信息,策略3,主升浪一型,2,zs,202008051532
120,300242,佳云科技,策略3,主升浪一型,1,zs,202008051532
123,300140,中环装备,策略3,主升浪一型,1,zs,202008051532
125,002699,美盛文化,策略3,主升浪一型,1,zs,202008051532
127,002173,创新医疗,策略3,主升浪一型,2,zs,202008051532
129,002164,宁波东力,策略3,主升浪一型,2,zs,202008051532
132,000757,浩物股份,策略3,主升浪一型,2,zs,202008051532
135,000421,南京公用,策略3,主升浪一型,2,zs,202008051532
138,300142,沃森生物,策略3,主升浪一型,1,zs,202008051532
140,002371,北方华创,策略3,主升浪一型,2,zs,202008051532
143,300464,星徽精密,策略3,主升浪一型,2,zs,202008051532
145,601231,环旭电子,策略3,主升浪一型,1,zs,202008051532
147,603733,仙鹤股份,策略3,主升浪一型,2,zs,202008051532
149,603976,正川股份,策略3,主升浪一型,1,zs,202008051532
152,000411,英特集团,策略3,主升浪一型,1,zs,202008051532
155,000026,飞亚达,策略3,主升浪一型,2,zs,202008051532
158,002315,焦点科技,策略3,主升浪一型,1,zs,202008051532
160,300030,阳普医疗,策略3,主升浪一型,2,zs,202008051532
163,300120,经纬辉开,策略3,主升浪一型,1,zs,202008051532
165,002082,万邦德,策略3,主升浪一型,1,zs,202008051532
168,300690,双一科技,策略3,主升浪一型,2,zs,202008051532
171,601108,财通证券,策略3,主升浪一型,1,zs,202008051532
173,300151,昌红科技,策略3,主升浪一型,1,zs,202008051532
175,600531,豫光金铅,策略3,主升浪一型,2,zs,202008051532
178,300554,三超新材,策略3,主升浪一型,2,zs,202008051532
179,603676,卫信康,策略3,主升浪一型,1,zs,202008051532
182,000518,四环生物,策略3,主升浪一型,2,zs,202008051532
