xh,idnm,cp,bssj
0,806641
0,806645,两球/两球半,2019-10-06 21:00
0,806649,受半球/一球,2019-10-06 23:30
0,806657,受半球,2019-10-06 21:00
0,808205,一球,2019-10-06 21:00
0,808213,平手/半球,2019-10-06 23:00
0,808217,受平手/半球,2019-10-07 03:00
0,824683,一球,2019-10-06 19:30
0,824685,一球,2019-10-06 21:30
0,824687,平手/半球,2019-10-06 23:59
0,830939,一球,2019-10-07 03:00
0,830943,受平手/半球,2019-10-06 20:00
0,830953,半球,2019-10-07 00:30
0,830957,受半球/一球,2019-10-06 22:00
0,853940,平手,2019-10-06 21:00
0,853942,平手,2019-10-07 02:45
0,853946,平手,2019-12-19 03:45
0,853948,一球/球半,2019-10-06 21:00
0,853950,受半球,2019-10-06 23:59
0,853954,一球,2019-10-06 21:00
0,853956,半球/一球,2019-10-06 18:30
