,idnm,zt,ls,zd,kd,bsrq,bssj
33,942065,未,丹超,灵比,霍森斯,11-21,02:00
50,936985,未,德甲,法兰克福,莱比锡红牛,11-22,01:30
51,936982,未,德甲,柏林赫塔,多特蒙德,11-22,03:30
47,936984,未,德甲,拜仁慕尼黑,云达不来梅,11-21,22:30
48,936989,未,德甲,沙尔克04,沃尔夫斯堡,11-21,22:30
49,936981,未,德甲,比勒费尔德,勒沃库森,11-21,22:30
52,952387,未,意甲,斯佩齐亚,亚特兰大,11-22,01:00
53,952385,未,意甲,尤文图斯,卡利亚里,11-22,03:45
32,929840,未,法甲,雷恩,波尔多,11-21,02:00
35,929836,未,法甲,摩纳哥,巴黎圣日尔曼,11-21,04:00
42,962002,未,美职,新英格兰革命,蒙特利尔冲击,11-21,07:30
43,962001,未,美职,纳什维尔SC,国际迈阿密,11-21,10:00
34,942281,未,英冠,考文垂,伯明翰,11-21,03:45
45,943890,未,英超,托特纳姆热刺,曼彻斯特城,11-22,01:30
46,943887,未,英超,曼彻斯特联,西布罗姆维奇,11-22,04:00
44,943882,未,英超,阿斯顿维拉,布赖顿,11-21,23:00
29,932987,未,荷乙,福伦丹,奥斯,11-21,01:45
30,932991,未,荷乙,奈梅亨,罗达JC,11-21,01:45
31,932986,未,荷乙,SBV精英,阿尔克马尔B队,11-21,01:45
37,932989,未,荷乙,乌德勒支B队,赫尔蒙特,11-21,04:00
38,932990,未,荷乙,马斯特里赫特,埃因霍温B队,11-21,04:00
39,932984,未,荷乙,邓伯什,阿贾克斯B队,11-21,04:00
40,949566,未,西乙,阿尔科尔孔,卢戈,11-21,02:00
41,949567,未,西乙,西班牙人,赫罗纳,11-21,04:00
55,948221,未,西甲,塞维利亚,维戈塞尔塔,11-22,01:30
36,948220,未,西甲,奥萨苏纳,韦斯卡,11-21,04:00
56,948215,未,西甲,马德里竞技,巴塞罗那,11-22,04:00
54,948222,未,西甲,比利亚雷亚尔,皇家马德里,11-21,23:15
