,xh1,xh2,xh3,xh4,xh5,xh6,xh7,xh8,xh9,xh10,xh11,xh12,xh13,xh14,xh15,xh16
0,0,c_klmx:31,21,6,0,0,-,27,0,0,1.4142,162.0,两球,BetClic.csv,1.0,
1,0,c_klmx:31,89,50,24,20,-,139,24,20,0.9046,3044.7,一球,Fonbet.csv,1.0,
2,1,c_klmx:32,9,6,0,2,-,15,0,2,1.1735,44.2,一球,竞彩官方.csv,1.0,
3,2,c_klmx:11,7,10,4,2,-,17,4,2,0.8674,44.2,一球,伟德.csv,1.0,
4,3,c_klmx:12,18,14,5,6,-,32,5,6,0.872,156.2,一球,888Sport.csv,1.0,
6,5,c_klmx:102,24,34,18,9,-,58,18,9,0.7517,453.6,一球,易胜博.csv,1.0,
13,4,c_klmx:102,16,3,6,2,-,19,6,2,0.8064,52.7,两球,必发.csv,2.0,
14,4,c_klmx:102,15,8,6,2,-,23,6,2,0.8811,82.9,两球,BetClic.fr.csv,2.0,
15,0,c_klmx:31,27,7,0,3,-,34,0,3,1.2462,236.2,两球,CashPoint.csv,1.0,
16,3,c_klmx:102,34,13,7,6,-,47,7,6,0.9548,364.7,两球,伟德.csv,2.0,
17,0,c_klmx:31,25,7,0,2,-,32,0,2,1.2914,214.2,两球,X-TiP.csv,1.0,
27,4,c_klmx:101,24,18,13,16,-,42,13,16,0.5502,169.6,半球,竞彩官方.csv,1.0,
28,4,c_klmx:101,25,26,18,18,-,51,18,18,0.5364,242.0,半球,香港马会.csv,1.0,
29,1,c_klmx:32,39,34,26,18,-,73,26,18,0.6221,588.7,半球,奥地利博彩.csv,1.0,
36,3,c_klmx:12,25,31,15,10,-,56,15,10,0.7632,424.7,半球/一球,10BET.csv,1.0,
37,4,c_klmx:101,14,17,11,5,-,31,11,5,0.7095,123.6,半球/一球,香港马会.csv,1.0,
38,5,c_klmx:102,83,84,69,51,-,167,69,51,0.5328,2598.2,半球/一球,Goalbet.csv,1.0,
52,2,c_klmx:11,3,1,6,33,-,4,6,33,0.9226,174.9,受半球,Bookmaker.eu.csv,1.0,
